Cas#	Chem. Name	Smiles	Quantity	Mixture/Salt	Map reliability	CO2_Observed [28]	CO2 [28]	±_CO2 [28]	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by CO2	Start day of Obs. 10 days window	CO2 obs at 10 days window	Classification of Obs. 10 days window	CO2 calc at 10 days window	Start day of Calc. 10 days window	Classification of Calc. 10 days window	Parameter ranges	Structural domain				Unable to mineralize	Total Domain
57117-31-4	2,3,4,7,8-P5CDF	Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	25.00%	0.00%	75.00%	Out of domain	In domain	Out of Domain
70648-26-9	1,2,3,4,7,8-H6CDF	Clc1cc2c(cc1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	22.22%	0.00%	77.78%	Out of domain	In domain	Out of Domain
57117-44-9	1,2,3,6,7,8-H6CDF	Clc1cc2c(c(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
72918-21-9	1,2,3,7,8,9-H6CDF	Clc1cc2c(c(Cl)c1Cl)-c1c(cc(Cl)c(Cl)c1Cl)O2	1	 	N/A	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
60851-34-5	2,3,4,6,7,8-H6CDF	Clc1cc2c(c(Cl)c1Cl)Oc1c-2cc(Cl)c(Cl)c1Cl	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
67562-39-4	1,2,3,4,6,7,8-H7CDF	Clc1cc2c(c(Cl)c1Cl)Oc1c-2c(Cl)c(Cl)c(Cl)c1Cl	0.9999	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
55673-89-7	1,2,3,4,7,8,9-H7CDF	Clc1cc2c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
39001-02-0	1,2,3,4,6,7,8,9-O8CDF	Clc1c(Cl)c(Cl)c(Cl)c2c1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.9999	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
32598-13-3	3,3’,4,4’-T4CB	Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl	1	 	0.2899	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
70362-50-4	3,3’,4’,5-T4CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1	1	 	0.0961	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
32598-14-4	2,3,3',4,4'-P5CB	Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl	1	 	0.2899	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
74472-37-0	2,3,4,4',5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1	0.9999	 	0.0745	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	14.29%	0.00%	85.71%	Out of domain	In domain	Out of Domain
31508-00-6	2,3',4,4',5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl	1	 	0.1284	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	42.86%	0.00%	57.14%	Out of domain	In domain	Out of Domain
65510-44-3	2,3',4,4',5'-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1	1	 	0.0961	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain
57465-28-8	3,3’,4,4’,5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl	1	 	0.0961	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain
38380-08-4	2,3,3',4,4',5-H6CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl	0.9999	 	0.0745	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
69782-90-7	2,3,3',4,4',5'-H6CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1Cl	1	 	0.0961	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	25.00%	0.00%	75.00%	Out of domain	In domain	Out of Domain
52663-72-6	2,3',4,4',5,5'-H6CB	Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)cc(Cl)c1Cl	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain
32774-16-6	3,3’,4,4’,5,5’-H6CB	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl	1	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
39635-31-9	2,3,3',4,4',5,5'-H7CB	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl	0.9999	 	0.0476	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	22.22%	0.00%	77.78%	Out of domain	In domain	Out of Domain
74070-46-5	Aclonifen	Nc1c(N(=O)=O)ccc(Oc2ccccc2)c1Cl	0.49	 	N/A	No data	 0.260	 	27.13 days	2m 21d	Unknown	Unknown	Unknown	Unknown	0.2010	10.85	Not Ready	In domain	37.50%	0.00%	62.50%	Out of domain	In domain	Out of Domain
42576-02-3	Bifenox	COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	0.000343	 	N/A	No data	 0.419	 	1.13 days	1m 12d	Unknown	Unknown	Unknown	Unknown	0.3024	6.45	Not Ready	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
28159-98-0	Cybutryne	CC(C)(C)Nc1nc(NC2CC2)nc(SC)n1	0.8642	 	0.2044	No data	 0.0123	 	4m 12d	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	25.00%	0.00%	75.00%	Out of domain	In domain	Out of Domain
52315-07-8	Cypermethrin	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.000343	 	N/A	No data	 0.513	 	1.13 days	25.88 days	Unknown	Unknown	Unknown	Unknown	0.3748	5.40	Not Ready	In domain	44.44%	0.00%	55.56%	Out of domain	Out of domain	Out of Domain
67375-30-8	Alpha cypermethrin	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.000343	 	N/A	No data	 0.513	 	1.13 days	25.88 days	Unknown	Unknown	Unknown	Unknown	0.3748	5.40	Not Ready	In domain	44.44%	0.00%	55.56%	Out of domain	Out of domain	Out of Domain
62-73-7	Dichlorvos	COP(=O)(OC)OC=C(Cl)Cl	1	 	N/A	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
76-44-8	Heptachlor	ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	0.5321	 	N/A	No data	0.000	 	30.88 days	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	17.65%	0.00%	82.35%	Out of domain	In domain	Out of Domain
1024-57-3	Heptachlor epoxide	ClC1C2C(C3C1C1(Cl)C(Cl)=C(Cl)C3(Cl)C1(Cl)Cl)O2	0.001	 	N/A	No data	0.000	 	2.00 days	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	5.56%	0.00%	94.44%	Out of domain	In domain	Out of Domain
886-50-0	Terbutryn	CCNc1nc(NC(C)(C)C)nc(SC)n1	0.004865	 	0.0839	No data	 0.0265	 	3.63 days	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	36.36%	0.00%	63.64%	Out of domain	In domain	Out of Domain
57-63-6	17alpha-ethinylestradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	0.9694	 	N/A	No data	 6.59E-3	 	1y 8m 16d	1y 9m 1d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	70.59%	5.88%	23.53%	Out of domain	In domain	Out of Domain
50-28-2	17beta-estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	1	 	N/A	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	66.67%	0.00%	33.33%	Out of domain	Out of domain	Out of Domain
15307-79-6	Diclofenac	O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)O{-}.[Na]{+}	0	Salt	N/A	No data	0.000	 	 < 1 day	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain
 	 	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	0.000999	 	1.0000	No data	0.000	 	 < 1 day	2y 2m 25d	 	 	Unknown	Unknown	?	>28	Not Ready	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
 	 	O{-}.[Na]{+}	1E-005	 	1.0000	No data	Cant't calc	 	more than 10 years	2y 2m 25d	 	 	Unknown	Unknown	?	>28	Not Ready	 	 	 	 	 	 	N/A
25637-99-4	1,3,5,7,9,11-Hexabromocyclododecane	BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1	1	 	N/A	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	33.33%	0.00%	66.67%	Out of domain	Out of domain	Out of Domain
3194-55-6	1,2,5,6,9,10- Hexabromocyclododecane	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	1	 	N/A	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	33.33%	0.00%	66.67%	Out of domain	Out of domain	Out of Domain


Legend:
< =   is assigned in the report for toxicity prediction in the case with the chemicals with reactive unspecified toxicity mode of action. 
These chemicals are known to possess reactive groups. 
Having no enough data for their toxicity, the base-surface toxicity model (associated with narcotic chemicals) is applied for  evaluating the max LC50 data for the chemicals with reactive unspecified toxicity mode of action.
This is the upper boundary for LC 50 which could be associated with these chemicals.  
No domain could be assigned for these chemicals having no sharp prediction values.

*  Predicted toxicity is greater than the calculated by the fragment method water solubility for this chemical.
