No	CAS	Name	SMILES	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by CO2	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain
118	83-43-2	Methylprednisolon	CC{P-}1CC{P-}2C{P+}3CCC{P+}(O)(C(=O)CO)C{P+}3(C)CC{P+}(O)C{P+}2C{P-}2(C)C=CC(=O)C=C12	1.13 days	23.63 days	Unknown	In domain	59.26%	0.00%	40.74%	Out of domain	In domain	Out of Domain
119	7232-21-5	Metoclopramid	CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC	 < 1 day	14.13 days	Unknown	In domain	66.67%	0.00%	33.33%	Out of domain	Out of domain	Out of Domain
120	152019-73-3	Metolachlor-OXA	CCc1cccc(C)c1N(C(C)COC)C(=O)C(O)=O	8.38 days	2y 2m 25d	Unknown	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain
121	139528-85-1	Metosulam	Cc1ccc(Cl)c(NS(=O)(=O)C2Nn{+}3c(OC)cc(OC)nc3N=2)c1Cl	2m 26d	2y 2m 25d	Unknown	In domain	12.50%	0.00%	87.50%	Out of domain	In domain	Out of Domain
122	35045-02-4	Metribuzin-Desamino (DA)	CC(C)(C)C1C(=O)N=C(SC)NN=1	more than 10 years	2y 2m 25d	Unknown	In domain	23.08%	0.00%	76.92%	Out of domain	Out of domain	Out of Domain
123	71320-77-9	Moclobemid	O=C(c1ccc(Cl)cc1)NCCN1CCOCC1	2.88 days	2y 2m 25d	Unknown	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain
124	24280-93-1	Mycophenolsäure	CC(\CCC(O)=O)=C/Cc1c(OC)c(C)c2COC(=O)c2c1O	1.63 days	9.13 days	Unknown	In domain	55.56%	0.00%	44.44%	Out of domain	In domain	Out of Domain
125	93413-77-5	N,N-Didesvenlafaxin	OC=NCCN=CO	1.38 days	28.88 days	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
126	135308-74-6	N,O-Didesvenlafaxin	CNCC(c1ccc(O)cc1)C1(O)CCCCC1	1.13 days	1m 4d	Unknown	In domain	69.23%	0.00%	30.77%	Out of domain	Out of domain	Out of Domain
127	127-74-2	N4-Acetyl-Sulfadiazin	CC(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	6m 3d	2y 2m 25d	Unknown	In domain	10.00%	0.00%	90.00%	Out of domain	Out of domain	Out of Domain
128	24341-30-8	N4-Acetyl-Sulfadimethoxin	CC(=O)Nc1ccc(S(=O)(=O)Nc2nc(OC)cc(OC)n2)cc1	13.13 days	2y 2m 25d	Unknown	In domain	21.43%	0.00%	78.57%	Out of domain	Out of domain	Out of Domain
129	100-90-3	N4-Acetyl-Sulfamethazin	Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)n1	6m 3d	2y 2m 25d	Unknown	In domain	8.33%	0.00%	91.67%	Out of domain	Out of domain	Out of Domain
130	127-76-4	N4-acetyl-Sulfathiazol	CC(=O)Nc1ccc(S(=O)(=O)NC2=NC=CS2)cc1	6m 3d	2y 2m 25d	Unknown	In domain	7.14%	0.00%	92.86%	Out of domain	In domain	Out of Domain
131	985-16-0	Nafcillin	CCOc1ccc2ccccc2c1C(O)=NC{P-}1C{P+}2N(C{P-}(C(O)=O)C(C)(C)S2)C1=O	2.63 days	2y 2m 25d	Unknown	In domain	45.00%	0.00%	55.00%	Out of domain	Out of domain	Out of Domain
132	149289-30-5	N-Desvenlafaxin	CNCC(c1ccc(OC)cc1)C1(O)CCCCC1	1.13 days	1m 21d	Unknown	In domain	71.43%	0.00%	28.57%	Out of domain	Out of domain	Out of Domain
133	20702-77-6	Neohesperidin dihydrochalcon	CC{P-}1C{P+}(O)C{P-}(O)C{P-}(O)C{P+}(OC{P+}2C{P-}(O)C{P+}(O)C{P-}(CO)OC{P-}2Oc2cc(O)c(C(=O)CCc3ccc(OC)c(O)c3)c(O)c2)O1	 < 1 day	1m 5d	Unknown	In domain	72.73%	0.00%	27.27%	Out of domain	Out of domain	Out of Domain
134	165450-17-9	Neotam	CC(C)(C)CCNC{P+}(CC(O)=O)C(=O)NC{P+}(Cc1ccccc1)C(=O)OC	1.13 days	1m 14d	Unknown	In domain	86.36%	0.00%	13.64%	Out of domain	In domain	Out of Domain
135	579-10-2	N-Methylacetanilid	CC(=O)N(C)c1ccccc1	18.50 days	2y 2m 25d	Unknown	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
136	128-62-1	Noscapin	CN1CCc2cc3c(c(OC)c2C{P+}1C{P+}1c2ccc(OC)c(OC)c2C(=O)O1)OCO3	 < 1 day	2y 2m 25d	Unknown	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
137	113806-05-6	Olopatadine	CN(C)CC/C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12	 < 1 day	1m 14d	Unknown	In domain	60.00%	0.00%	40.00%	Out of domain	In domain	Out of Domain
138	34622-58-7	Orbencarb	CCN(CC)C(=O)SCc1ccccc1Cl	1.63 days	2y 2m 25d	Unknown	In domain	18.18%	0.00%	81.82%	Out of domain	In domain	Out of Domain
139	196618-13-0	Oseltamivir	CCC(CC)OC{P+}1C=C(C(=O)OCC)CC{P+}(N)C{P-}1NC(C)=O	2.50 days	2y 2m 25d	Unknown	In domain	45.45%	0.00%	54.55%	Out of domain	In domain	Out of Domain
140	187227-45-8	Oseltamivir-carboxylat	CCC(CC)OC{P+}1C=C(C(O)=O)CC{P+}(N)C{P-}1NC(C)=O	1.88 days	2m 4d	Unknown	In domain	40.00%	0.00%	60.00%	Out of domain	Out of domain	Out of Domain
141	66-79-5	Oxacillin	CC1=C(C(=O)NC{P-}2C{P+}3N(C{P-}(C(O)=O)C(C)(C)S3)C2=O)C(c2ccccc2)=NO1	2.88 days	2y 2m 25d	Unknown	In domain	30.43%	0.00%	69.57%	Out of domain	Out of domain	Out of Domain
142	6452-71-7	Oxprenolol	CC(C)NCC(O)COc1ccccc1OCC=C	1.88 days	24.00 days	Unknown	In domain	64.29%	0.00%	35.71%	Out of domain	In domain	Out of Domain
143	5633-20-5	Oxybutynin	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1	 < 1 day	2y 2m 25d	Unknown	In domain	71.43%	0.00%	28.57%	Out of domain	Out of domain	Out of Domain
144	66246-88-6	Penconazol	CCCC(CN1C=NC=N1)c1ccc(Cl)cc1Cl	6.50 days	2y 2m 25d	Unknown	In domain	23.08%	0.00%	76.92%	Out of domain	In domain	Out of Domain
145	82834-16-0	Perindopril	CCCC{P-}(C(=O)OCC)NC{P-}(C)C(=O)N1C{P-}2CCCCC{P-}2CC{P-}1C(O)=O	1.13 days	2y 2m 25d	Unknown	In domain	76.92%	0.00%	23.08%	Out of domain	In domain	Out of Domain
146	106700-29-2	Pethoxamid	CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1	8.00 days	2y 2m 25d	Unknown	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
147	119515-38-7	Picaridin (Icaridin)	CCC(C)OC(=O)N1CCCCC1CCO	 < 1 day	19.13 days	Unknown	In domain	56.25%	0.00%	43.75%	Out of domain	In domain	Out of Domain
148	111025-46-8	Pioglitazone	CCc1ccc(CCOc2ccc(CC3C(=O)NC(=O)S3)cc2)nc1	2.88 days	5m 1d	Unknown	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
149	81093-37-0	Pravastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P+}(O)C=C2C=CC{P+}(C)C{P+}(CCC{P-}(O)CC{P-}(O)CC(O)=O)C{P-}12	1.63 days	11.13 days	Unknown	In domain	73.33%	0.00%	26.67%	Out of domain	In domain	Out of Domain
150	55268-74-1	Praziquantel	O=C1CN(C(=O)C2CCCCC2)CC2c3ccccc3CCN12	8.50 days	27.88 days	Unknown	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
151	50-24-8	Prednisolon	CC{P+}12CC{P+}(O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	1.13 days	18.88 days	Unknown	In domain	57.69%	0.00%	42.31%	Out of domain	In domain	Out of Domain
152	53-03-2	Prednison	CC{P+}12CC(=O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	2.38 days	18.88 days	Unknown	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain
153	721-50-6	Prilocain	CCCNC(C)C(=O)Nc1ccccc1C	6m 3d	6m 4d	Unknown	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
154	125-33-7	Primidon	CCC1(c2ccccc2)C(=O)NCNC1=O	1.38 days	1m 25d	Unknown	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain
155	57-83-0	Progesteron	CC(=O)C{P-}1CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P-}3CCC{P+}12C	 < 1 day	1m 2d	Unknown	In domain	65.22%	0.00%	34.78%	Out of domain	In domain	Out of Domain
156	123732-85-4	Propachlor-ESA	CC(C)N(C(=O)CS(O)(=O)=O)c1ccccc1	11.50 days	2y 2m 25d	Unknown	In domain	58.33%	0.00%	41.67%	Out of domain	In domain	Out of Domain
157	111479-05-1	Propaquizafop	CC(C(=O)OCCON=C(C)C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1	1.13 days	2y 2m 25d	Unknown	In domain	29.41%	0.00%	70.59%	Out of domain	Out of domain	Out of Domain
158	120983-64-4	Prothioconazole-desethio	OC(Cc1ccccc1Cl)(CN1C=NC=N1)C1(Cl)CC1	more than 10 years	2y 2m 25d	Unknown	In domain	6.67%	0.00%	93.33%	Out of domain	In domain	Out of Domain
159	66357-35-5	Ranitidin	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	2.38 days	2y 2m 25d	Unknown	In domain	14.29%	0.00%	85.71%	Out of domain	Out of domain	Out of Domain
160	*738557-20-2	Ranitidin-N-oxid	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	2.38 days	2y 2m 25d	Unknown	In domain	14.29%	0.00%	85.71%	Out of domain	Out of domain	Out of Domain
161	13392-28-4	Rimantadin	CC(N)C12CC3CC(C1)CC(C2)C3	2.63 days	2y 2m 25d	Unknown	In domain	76.92%	0.00%	23.08%	Out of domain	Out of domain	Out of Domain
162	155213-67-5	Ritonavir	CC(C)C{P-}(C(=O)NC{P+}(CC{P+}(O)C{P+}(Cc1ccccc1)NC(=O)OCC1=CN=CS1)Cc1ccccc1)NC(=O)N(C)CC1=CSC(C(C)C)=N1	 < 1 day	2y 2m 25d	Unknown	In domain	45.00%	0.00%	55.00%	Out of domain	In domain	Out of Domain
163	123441-03-2	Rivastigmin	CCN(C)C(=O)Oc1cccc(C{P+}(C)N(C)C)c1	3.13 days	2y 2m 25d	Unknown	In domain	30.77%	0.00%	69.23%	Out of domain	In domain	Out of Domain
164	287714-41-4	Rosuvastatin	CC(C)c1c(/C=C/C{P+}(O)CC{P-}(O)CC(O)=O)c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)n1	1.63 days	2y 2m 25d	Unknown	In domain	43.48%	0.00%	56.52%	Out of domain	In domain	Out of Domain
165	N/A	Simazin-2-hydroxy	CCNC1NC(NCC)=NC(=O)N=1	more than 10 years	2y 2m 25d	Unknown	In domain	15.38%	0.00%	84.62%	Out of domain	Out of domain	Out of Domain
166	673-04-1	Simeton	CCNc1nc(NCC)nc(OC)n1	1.88 days	23.63 days	Unknown	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
167	486460-32-6	Sitagliptin	NC{P+}(Cc1cc(F)c(F)cc1F)CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F	2.38 days	2y 2m 25d	Unknown	In domain	21.74%	0.00%	78.26%	Out of domain	Out of domain	Out of Domain
168	99105-77-8	Sulcotrion	CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1	14.38 days	2y 2m 25d	Unknown	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
169	53250-83-2	Sulcotrion-CMBA	CS(=O)(=O)c1ccc(C(O)=O)c(Cl)c1	3y 0m 3d	2y 2m 25d	Unknown	In domain	22.22%	0.00%	77.78%	Out of domain	In domain	Out of Domain
170	35256-85-0	Tebutam	CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C	18.50 days	2y 2m 25d	Unknown	In domain	58.33%	0.00%	41.67%	Out of domain	In domain	Out of Domain
171	83121-18-0	Teflubenzuron	O=C(c1c(F)cccc1F)NC(=O)Nc1cc(Cl)c(F)c(Cl)c1F	 < 1 day	2y 2m 25d	Unknown	In domain	7.14%	0.00%	92.86%	Out of domain	In domain	Out of Domain
172	30125-63-4	Terbutylazin-desethyl	CC(C)(C)Nc1nc(N)nc(Cl)n1	8.50 days	2y 2m 25d	Unknown	In domain	37.50%	0.00%	62.50%	Out of domain	In domain	Out of Domain
173	10379-14-3	Tetrazepam	CN1C(=O)CN=C(C2CCCCC=2)c2cc(Cl)ccc12	18.38 days	2y 2m 25d	Unknown	In domain	26.67%	0.00%	73.33%	Out of domain	In domain	Out of Domain
174	676228-91-4	Thiacloprid-amide	N=C(O)/N=C1/N(Cc2ccc(Cl)nc2)CCS/1	2.88 days	2y 2m 25d	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
175	76-75-5	Thiopental	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	more than 10 years	2y 2m 25d	Unknown	In domain	56.25%	0.00%	43.75%	Out of domain	Out of domain	Out of Domain
176	51012-32-9	Tiaprid	CCN(CC)CCN=C(O)c1cc(S(C)(=O)=O)ccc1OC	 < 1 day	2y 2m 25d	Unknown	In domain	47.06%	0.00%	52.94%	Out of domain	Out of domain	Out of Domain
177	55142-85-3	Ticlopidin	Clc1ccccc1CN1CCC2=C(C1)C=CS2	2.00 days	2y 2m 25d	Unknown	In domain	16.67%	0.00%	83.33%	Out of domain	Out of domain	Out of Domain
178	51931-66-9	Tilidine	CCOC(=O)C1(c2ccccc2)CCC=CC{P-}1N(C)C	 < 1 day	2y 2m 25d	Unknown	In domain	73.33%	0.00%	26.67%	Out of domain	In domain	Out of Domain
179	26839-75-8	Timolol	CC(C)(C)NCC{P+}(O)COC1C(N2CCOCC2)=NSN=1	5y 5m 23d	2y 2m 25d	Unknown	In domain	42.86%	0.00%	57.14%	Out of domain	Out of domain	Out of Domain
180	2398-96-1	Tolnaftat	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	 < 1 day	2y 2m 25d	Unknown	In domain	12.50%	0.00%	87.50%	Out of domain	Out of domain	Out of Domain
181	56211-40-6	Torasemid	CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1	 < 1 day	3m 8d	Unknown	In domain	21.43%	0.00%	78.57%	Out of domain	Out of domain	Out of Domain
182	147441-56-3	Tramadol N-oxide	CN(C)(=O)CC1CCCCC1(O)c1cccc(OC)c1	6.88 days	30.50 days	Unknown	In domain	53.33%	0.00%	46.67%	Out of domain	Out of domain	Out of Domain
183	68786-66-3	Triclabendazol	CSC1Nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2N=1	27.13 days	2y 2m 25d	Unknown	In domain	9.09%	0.00%	90.91%	Out of domain	Out of domain	Out of Domain
184	101-20-2	Triclocarban	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1	 < 1 day	2y 2m 25d	Unknown	In domain	11.11%	0.00%	88.89%	Out of domain	In domain	Out of Domain
185	126535-15-7	Triflusulfuron-methyl	Cc1cccc(C(=O)OC)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1	 < 1 day	2y 2m 25d	Unknown	In domain	39.13%	0.00%	60.87%	Out of domain	In domain	Out of Domain
186	739-71-9	Trimipramin	CC(CN(C)C)CN1c2ccccc2CCc2ccccc12	2y 8m 25d	2y 2m 25d	Unknown	In domain	66.67%	0.00%	33.33%	Out of domain	Out of domain	Out of Domain
187	142469-14-5	Tritosulfuron	COc1nc(C(F)(F)F)nc(NC(=O)NS(=O)(=O)c2ccccc2C(F)(F)F)n1	 < 1 day	2y 2m 25d	Unknown	In domain	36.84%	0.00%	63.16%	Out of domain	Out of domain	Out of Domain
188	10405-02-4	Trospium	OC(c1ccccc1)(c1ccccc1)C(=O)OC1CC2CCC(C1)N{+}21CCCC1	more than 10 years	2y 2m 25d	Unknown	In domain	57.89%	0.00%	42.11%	Out of domain	In domain	Out of Domain
189	1401-69-0	Tylosin	CCC{P+}1C{P-}(COC{P-}2C{P+}(OC)C{P+}(OC)C{P+}(O)C{P-}(C)O2)/C=C(C)/C=C/C(=O)C{P+}(C)CC{P+}(CC=O)C{P+}(OC{P-}2C{P+}(O)C{P-}(N(C)C)C{P+}(OC{P-}3CC{P-}(C)(O)C{P-}(O)C{P+}(C)O3)C{P-}(C)O2)C{P-}(C)C{P+}(O)CC(=O)O1	1.63 days	2y 2m 25d	Unknown	Out of domain	73.44%	0.00%	26.56%	Out of domain	In domain	Out of Domain
190	128-13-2	Ursodeoxycholic acid	CC{P+}(CCC(O)=O)C{P-}1CCC{P-}2C{P-}3C{P+}(CCC{P+}12C)C{P-}1(C)CCC{P-}(O)CC{P-}1CC{P+}3O	1.63 days	14.88 days	Unknown	In domain	82.14%	0.00%	17.86%	Out of domain	In domain	Out of Domain
191	1404-90-6	Vancomycin	CC(C)CC{P+}(C(=O)NC1C{P+}(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2OC{P-}2C{P+}(OC{P-}4CC{P+}(C)(N)C{P+}(O)C{P+}(C)O4)C{P-}(O)C{P+}(O)C{P-}(CO)O2)Oc2ccc(cc2Cl)C{P-}(O)C{P-}2C(=O)NC{P-}(C(O)=O)c4cc(O)cc(O)c4-c4cc(ccc4O)C{P+}(C(=O)N2)NC(=O)C{P+}3NC(=O)C{P+}(CC(N)=O)NC1=O)NC	 < 1 day	2y 2m 25d	Unknown	Out of domain	60.53%	0.00%	39.47%	Out of domain	In domain	Out of Domain
192	52-53-9	Verapamil	CC(C)C(CCCN(C)CCc1ccc(OC)c(OC)c1)(C#N)c1ccc(OC)c(OC)c1	 < 1 day	3m 12d	Unknown	In domain	78.26%	0.00%	21.74%	Out of domain	In domain	Out of Domain
193	274901-16-5	Vildagliptin	N#CC{P+}1CCCN1C(=O)CNC12CC3CC(C1)CC(O)(C2)C3	 < 1 day	2y 2m 25d	Unknown	In domain	59.09%	0.00%	40.91%	Out of domain	Out of domain	Out of Domain
194	526-36-3	Xylometazolin	Cc1cc(C(C)(C)C)cc(C)c1CC1NCCN=1	4.13 days	2y 2m 25d	Unknown	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain
195	30516-87-1	Zidovudine	CC1=CN(C{P-}2CC{P+}(N=N#N)C{P-}(CO)O2)C(=O)NC1=O	3m 1d	2y 2m 25d	Unknown	In domain	26.32%	0.00%	73.68%	Out of domain	In domain	Out of Domain
196	68291-97-4	Zonisamide	NS(=O)(=O)CC1c2ccccc2ON=1	26.38 days	2y 2m 25d	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
197	N/A	Fe	Fe					 	 	 			
198	501-36-0	Resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	 < 1 day	8.63 days	Unknown	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain
