#	CAS RN	NAME	SMILES	Daphnia magna EC50 48h										
				Daphnia magna-48h EC50 mode of action	Daphnia magna-48h EC50_Observed	Daphnia magna-48h EC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h EC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
112	36993-94-9	Metamitron-Desamino	CC1NN=C(c2ccccc2)C(=O)N=1	Reactive unspecified	no data	<=346.0927	from 187.121 to 640.122	N/A	N/A	N/A	N/A	N/A	N/A	N/A
113	1665-48-1	Metaxalone	Cc1cc(C)cc(OCC2CNC(=O)O2)c1	Reactive unspecified	no data	<=37.6448	from 23.440 to 60.458	N/A	N/A	N/A	N/A	N/A	N/A	N/A
114	N/A	Metazachlor-OXA	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)C(O)=O	Reactive unspecified	no data	<=3233.0920	from 1410.622 to 7410.125	N/A	N/A	N/A	N/A	N/A	N/A	N/A
115	125116-23-6	Metconazole	CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)CN1C=NC=N1	Reactive unspecified	no data	<=1.5819	from  0.691 to  3.624	N/A	N/A	N/A	N/A	N/A	N/A	N/A
116	76-99-3	Methadon	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	Reactive unspecified	no data	<=1.8325	from  0.808 to  4.157	N/A	N/A	N/A	N/A	N/A	N/A	N/A
117	77-41-8	Methsuximide	CC1(c2ccccc2)CC(=O)N(C)C1=O	basesurface narcotics	no data	410.0615	from 240.860 to 698.126	Out of domain	0.00%	0.00%	100.00%	Out of domain	56.81%	Out of Domain
118	83-43-2	Methylprednisolon	CC{P-}1CC{P-}2C{P+}3CCC{P+}(O)(C(=O)CO)C{P+}3(C)CC{P+}(O)C{P+}2C{P-}2(C)C=CC(=O)C=C12	Reactive unspecified	no data	<=303.6905*	from 175.937 to 524.209	N/A	N/A	N/A	N/A	N/A	N/A	N/A
119	7232-21-5	Metoclopramid	CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC	Reactive unspecified	no data	<=47.4384	from 28.548 to 78.829	N/A	N/A	N/A	N/A	N/A	N/A	N/A
120	152019-73-3	Metolachlor-OXA	CCc1cccc(C)c1N(C(C)COC)C(=O)C(O)=O	Reactive unspecified	no data	<=551.7765	from 306.579 to 993.078	N/A	N/A	N/A	N/A	N/A	N/A	N/A
121	139528-85-1	Metosulam	Cc1ccc(Cl)c(NS(=O)(=O)C2Nn{+}3c(OC)cc(OC)nc3N=2)c1Cl	Reactive unspecified	no data	<=2.5415	from  0.616 to 10.491	N/A	N/A	N/A	N/A	N/A	N/A	N/A
122	35045-02-4	Metribuzin-Desamino (DA)	CC(C)(C)C1C(=O)N=C(SC)NN=1	Reactive unspecified	no data	<=309.8293	from 160.828 to 596.875	N/A	N/A	N/A	N/A	N/A	N/A	N/A
123	71320-77-9	Moclobemid	O=C(c1ccc(Cl)cc1)NCCN1CCOCC1	basesurface narcotics	no data	865.1226	from 435.785 to 1717.445	Out of domain	7.69%	0.00%	92.31%	Out of domain	19.92%	Out of Domain
124	24280-93-1	Mycophenolsäure	CC(\CCC(O)=O)=C/Cc1c(OC)c(C)c2COC(=O)c2c1O	Reactive unspecified	no data	<=1.2904	from  0.550 to  3.030	N/A	N/A	N/A	N/A	N/A	N/A	N/A
125	93413-77-5	"N,N-Didesvenlafaxin"	OC=NCCN=CO	Reactive unspecified	no data	<=3281019.5000*	from 565997.563 to 19019672.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A
126	135308-74-6	"N,O-Didesvenlafaxin"	CNCC(c1ccc(O)cc1)C1(O)CCCCC1	phenols and anilines	no data	15.9704	from 11.547 to 22.087	In domain	7.69%	0.00%	92.31%	Out of domain	74.78%	Out of Domain
127	127-74-2	N4-Acetyl-Sulfadiazin	CC(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	Reactive unspecified	no data	<=4407.8218	from 1695.147 to 11461.482	N/A	N/A	N/A	N/A	N/A	N/A	N/A
128	24341-30-8	N4-Acetyl-Sulfadimethoxin	CC(=O)Nc1ccc(S(=O)(=O)Nc2nc(OC)cc(OC)n2)cc1	Reactive unspecified	no data	<=526.3306	from 259.049 to 1069.390	N/A	N/A	N/A	N/A	N/A	N/A	N/A
129	100-90-3	N4-Acetyl-Sulfamethazin	Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)n1	Reactive unspecified	no data	<=462.3529*	from 230.876 to 925.909	N/A	N/A	N/A	N/A	N/A	N/A	N/A
130	127-76-4	N4-acetyl-Sulfathiazol	CC(=O)Nc1ccc(S(=O)(=O)NC2=NC=CS2)cc1	Reactive unspecified	no data	<=453.7118*	from 219.626 to 937.296	N/A	N/A	N/A	N/A	N/A	N/A	N/A
131	985-16-0	Nafcillin	CCOc1ccc2ccccc2c1C(O)=NC{P-}1C{P+}2N(C{P-}(C(O)=O)C(C)(C)S2)C1=O	Reactive unspecified	no data	<=0.5875	from  0.220 to  1.568	N/A	N/A	N/A	N/A	N/A	N/A	N/A
132	149289-30-5	N-Desvenlafaxin	CNCC(c1ccc(OC)cc1)C1(O)CCCCC1	Reactive unspecified	no data	<=16.8249	from  9.843 to 28.759	N/A	N/A	N/A	N/A	N/A	N/A	N/A
133	20702-77-6	Neohesperidin dihydrochalcon	CC{P-}1C{P+}(O)C{P-}(O)C{P-}(O)C{P+}(OC{P+}2C{P-}(O)C{P+}(O)C{P-}(CO)OC{P-}2Oc2cc(O)c(C(=O)CCc3ccc(OC)c(O)c3)c(O)c2)O1	phenols and anilines	no data	390.2758	from 155.454 to 979.808	Out of domain	9.09%	0.00%	90.91%	Out of domain	Out of domain	Out of Domain
134	165450-17-9	Neotam	CC(C)(C)CCNC{P+}(CC(O)=O)C(=O)NC{P+}(Cc1ccccc1)C(=O)OC	Reactive unspecified	no data	<=34.0985	from 20.333 to 57.182	N/A	N/A	N/A	N/A	N/A	N/A	N/A
135	579-10-2	N-Methylacetanilid	CC(=O)N(C)c1ccccc1	basesurface narcotics	no data	937.7144	from 495.400 to 1774.947	In domain	0.00%	0.00%	100.00%	Out of domain	31.66%	Out of Domain
136	128-62-1	Noscapin	CN1CCc2cc3c(c(OC)c2C{P+}1C{P+}1c2ccc(OC)c(OC)c2C(=O)O1)OCO3	Reactive unspecified	no data	<=222.3803*	from 124.750 to 396.417	N/A	N/A	N/A	N/A	N/A	N/A	N/A
137	113806-05-6	Olopatadine	CN(C)CC/C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12	Reactive unspecified	no data	<=8904.3857*	from 3728.452 to 21265.684	N/A	N/A	N/A	N/A	N/A	N/A	N/A
138	34622-58-7	Orbencarb	CCN(CC)C(=O)SCc1ccccc1Cl	basesurface narcotics	no data	2.2792	from  1.069 to  4.860	Out of domain	18.18%	0.00%	81.82%	Out of domain	26.39%	Out of Domain
139	196618-13-0	Oseltamivir	CCC(CC)OC{P+}1C=C(C(=O)OCC)CC{P+}(N)C{P-}1NC(C)=O	Reactive unspecified	no data	<=1594.8013	from 775.693 to 3278.865	N/A	N/A	N/A	N/A	N/A	N/A	N/A
140	187227-45-8	Oseltamivir-carboxylat	CCC(CC)OC{P+}1C=C(C(O)=O)CC{P+}(N)C{P-}1NC(C)=O	Reactive unspecified	no data	<=7626.5176	from 2984.709 to 19487.246	N/A	N/A	N/A	N/A	N/A	N/A	N/A
141	66-79-5	Oxacillin	CC1=C(C(=O)NC{P-}2C{P+}3N(C{P-}(C(O)=O)C(C)(C)S3)C2=O)C(c2ccccc2)=NO1	Reactive unspecified	no data	<=58.8195	from 33.491 to 103.304	N/A	N/A	N/A	N/A	N/A	N/A	N/A
142	6452-71-7	Oxprenolol	CC(C)NCC(O)COc1ccccc1OCC=C	Reactive unspecified	no data	<=239.2376	from 150.094 to 381.325	N/A	N/A	N/A	N/A	N/A	N/A	N/A
143	5633-20-5	Oxybutynin	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1	Reactive unspecified	no data	<=3.2115	from  1.501 to  6.870	N/A	N/A	N/A	N/A	N/A	N/A	N/A
144	66246-88-6	Penconazol	CCCC(CN1C=NC=N1)c1ccc(Cl)cc1Cl	Reactive unspecified	no data	<=0.4774	from  0.182 to  1.255	N/A	N/A	N/A	N/A	N/A	N/A	N/A
145	82834-16-0	Perindopril	CCCC{P-}(C(=O)OCC)NC{P-}(C)C(=O)N1C{P-}2CCCCC{P-}2CC{P-}1C(O)=O	Reactive unspecified	no data	<=68.7010	from 43.892 to 107.534	N/A	N/A	N/A	N/A	N/A	N/A	N/A
146	106700-29-2	Pethoxamid	CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1	basesurface narcotics	no data	8.5682	from  4.601 to 15.956	Out of domain	26.67%	0.00%	73.33%	Out of domain	41.64%	Out of Domain
147	119515-38-7	Picaridin (Icaridin)	CCC(C)OC(=O)N1CCCCC1CCO	Reactive unspecified	no data	<=53.8008	from 35.367 to 81.843	N/A	N/A	N/A	N/A	N/A	N/A	N/A
148	111025-46-8	Pioglitazone	CCc1ccc(CCOc2ccc(CC3C(=O)NC(=O)S3)cc2)nc1	basesurface narcotics	no data	2.647	from  1.214 to  5.770	Out of domain	6.67%	0.00%	93.33%	Out of domain	23.30%	Out of Domain
149	81093-37-0	Pravastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P+}(O)C=C2C=CC{P+}(C)C{P+}(CCC{P-}(O)CC{P-}(O)CC(O)=O)C{P-}12	Reactive unspecified	no data	<=23.7975	from 13.659 to 41.462	N/A	N/A	N/A	N/A	N/A	N/A	N/A
150	55268-74-1	Praziquantel	O=C1CN(C(=O)C2CCCCC2)CC2c3ccccc3CCN12	basesurface narcotics	no data	74.7382	from 46.506 to 120.110	Out of domain	27.78%	0.00%	72.22%	Out of domain	92.07%	Out of Domain
151	50-24-8	Prednisolon	CC{P+}12CC{P+}(O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=672.9157*	from 350.217 to 1292.957	N/A	N/A	N/A	N/A	N/A	N/A	N/A
152	53-03-2	Prednison	CC{P+}12CC(=O)C{P-}3C{P-}(CCC4=CC(=O)C=CC{P+}34C)C{P+}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=462.2088*	from 256.289 to 833.580	N/A	N/A	N/A	N/A	N/A	N/A	N/A
153	721-50-6	Prilocain	CCCNC(C)C(=O)Nc1ccccc1C	basesurface narcotics	no data	171.6996	from 105.627 to 279.104	Out of domain	36.36%	0.00%	63.64%	Out of domain	72.31%	Out of Domain
154	125-33-7	Primidon	CCC1(c2ccccc2)C(=O)NCNC1=O	Reactive unspecified	no data	<=2155.7429	from 1093.175 to 4251.129	N/A	N/A	N/A	N/A	N/A	N/A	N/A
155	57-83-0	Progesteron	CC(=O)C{P-}1CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P-}3CCC{P+}12C	Reactive unspecified	no data	<=5.1878	from  2.620 to 10.270	N/A	N/A	N/A	N/A	N/A	N/A	N/A
156	123732-85-4	Propachlor-ESA	CC(C)N(C(=O)CS(O)(=O)=O)c1ccccc1	Reactive unspecified	no data	<=1343.0409	from 578.956 to 3115.539	N/A	N/A	N/A	N/A	N/A	N/A	N/A
157	111479-05-1	Propaquizafop	CC(C(=O)OCCON=C(C)C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1	Reactive unspecified	no data	<=0.7479*	from  0.286 to  1.955	N/A	N/A	N/A	N/A	N/A	N/A	N/A
158	120983-64-4	Prothioconazole-desethio	OC(Cc1ccccc1Cl)(CN1C=NC=N1)C1(Cl)CC1	Reactive unspecified	no data	<=18.3299	from 10.430 to 32.214	N/A	N/A	N/A	N/A	N/A	N/A	N/A
159	66357-35-5	Ranitidin	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	Reactive unspecified	no data	<=6539.2822	from 2644.802 to 16168.404	N/A	N/A	N/A	N/A	N/A	N/A	N/A
160	*738557-20-2	Ranitidin-N-oxid	CN/C(=C\N(=O)=O)/NCCSCC1=CC=C(CN(C)C)O1	Reactive unspecified	no data	<=6539.2822	from 2644.802 to 16168.404	N/A	N/A	N/A	N/A	N/A	N/A	N/A
161	13392-28-4	Rimantadin	CC(N)C12CC3CC(C1)CC(C2)C3	Reactive unspecified	no data	<=14.7464	from  6.376 to 34.108	N/A	N/A	N/A	N/A	N/A	N/A	N/A
162	155213-67-5	Ritonavir	CC(C)C{P-}(C(=O)NC{P+}(CC{P+}(O)C{P+}(Cc1ccccc1)NC(=O)OCC1=CN=CS1)Cc1ccccc1)NC(=O)N(C)CC1=CSC(C(C)C)=N1	Reactive unspecified	no data	<=0.0714*	from  0.018 to  0.280	N/A	N/A	N/A	N/A	N/A	N/A	N/A
163	123441-03-2	Rivastigmin	CCN(C)C(=O)Oc1cccc(C{P+}(C)N(C)C)c1	Reactive unspecified	no data	<=90.1647	from 56.907 to 142.858	N/A	N/A	N/A	N/A	N/A	N/A	N/A
164	287714-41-4	Rosuvastatin	CC(C)c1c(/C=C/C{P+}(O)CC{P-}(O)CC(O)=O)c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)n1	Reactive unspecified	no data	<=82.2636	from 45.385 to 149.109	N/A	N/A	N/A	N/A	N/A	N/A	N/A
165	N/A	Simazin-2-hydroxy	CCNC1NC(NCC)=NC(=O)N=1	Reactive unspecified	no data	<=840715.6875	from 164995.797 to 4283763.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A
166	673-04-1	Simeton	CCNc1nc(NCC)nc(OC)n1	basesurface narcotics	no data	25.9458	from 16.070 to 41.891	Out of domain	22.22%	0.00%	77.78%	Out of domain	78.93%	Out of Domain
167	486460-32-6	Sitagliptin	NC{P+}(Cc1cc(F)c(F)cc1F)CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F	Reactive unspecified	no data	<=690.8946	from 331.708 to 1439.022	N/A	N/A	N/A	N/A	N/A	N/A	N/A
168	99105-77-8	Sulcotrion	CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1	Reactive unspecified	no data	<=69.6276	from 35.126 to 138.018	N/A	N/A	N/A	N/A	N/A	N/A	N/A
169	53250-83-2	Sulcotrion-CMBA	CS(=O)(=O)c1ccc(C(O)=O)c(Cl)c1	Reactive unspecified	no data	<=1430.6050	from 553.918 to 3694.829	N/A	N/A	N/A	N/A	N/A	N/A	N/A
170	35256-85-0	Tebutam	CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C	basesurface narcotics	no data	5.8624	from  3.106 to 11.063	Out of domain	16.67%	8.33%	75.00%	Out of domain	29.08%	Out of Domain
171	83121-18-0	Teflubenzuron	O=C(c1c(F)cccc1F)NC(=O)Nc1cc(Cl)c(F)c(Cl)c1F	Reactive unspecified	no data	<=0.5727	from  0.216 to  1.519	N/A	N/A	N/A	N/A	N/A	N/A	N/A
172	30125-63-4	Terbutylazin-desethyl	CC(C)(C)Nc1nc(N)nc(Cl)n1	Reactive unspecified	no data	<=73.9228	from 46.497 to 117.526	N/A	N/A	N/A	N/A	N/A	N/A	N/A
173	10379-14-3	Tetrazepam	CN1C(=O)CN=C(C2CCCCC=2)c2cc(Cl)ccc12	basesurface narcotics	no data	4.1272*	from  2.038 to  8.360	Out of domain	20.00%	0.00%	80.00%	Out of domain	31.12%	Out of Domain
174	676228-91-4	Thiacloprid-amide	N=C(O)/N=C1/N(Cc2ccc(Cl)nc2)CCS/1	Reactive unspecified	no data	<=379.1878	from 199.114 to 722.117	N/A	N/A	N/A	N/A	N/A	N/A	N/A
175	76-75-5	Thiopental	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	Reactive unspecified	no data	<=16.3448	from  8.557 to 31.221	N/A	N/A	N/A	N/A	N/A	N/A	N/A
176	51012-32-9	Tiaprid	CCN(CC)CCN=C(O)c1cc(S(C)(=O)=O)ccc1OC	Reactive unspecified	no data	<=524.6598	from 259.624 to 1060.255	N/A	N/A	N/A	N/A	N/A	N/A	N/A
177	55142-85-3	Ticlopidin	Clc1ccccc1CN1CCC2=C(C1)C=CS2	Reactive unspecified	no data	<=1.0148	from  0.424 to  2.430	N/A	N/A	N/A	N/A	N/A	N/A	N/A
178	51931-66-9	Tilidine	CCOC(=O)C1(c2ccccc2)CCC=CC{P-}1N(C)C	Reactive unspecified	no data	<=4.2922	from  2.145 to  8.587	N/A	N/A	N/A	N/A	N/A	N/A	N/A
179	26839-75-8	Timolol	CC(C)(C)NCC{P+}(O)COC1C(N2CCOCC2)=NSN=1	Reactive unspecified	no data	<=283.7902	from 158.563 to 507.918	N/A	N/A	N/A	N/A	N/A	N/A	N/A
180	2398-96-1	Tolnaftat	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	Reactive unspecified	no data	<=0.0517*	from  0.014 to  0.186	N/A	N/A	N/A	N/A	N/A	N/A	N/A
181	56211-40-6	Torasemid	CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1	Reactive unspecified	no data	<=173.4138	from 89.452 to 336.186	N/A	N/A	N/A	N/A	N/A	N/A	N/A
182	147441-56-3	Tramadol N-oxide	CN(C)(=O)CC1CCCCC1(O)c1cccc(OC)c1	Reactive unspecified	no data	<=103.2473*	from 65.961 to 161.612	N/A	N/A	N/A	N/A	N/A	N/A	N/A
183	68786-66-3	Triclabendazol	CSC1Nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2N=1	Reactive unspecified	no data	<=0.1032*	from  0.031 to  0.345	N/A	N/A	N/A	N/A	N/A	N/A	N/A
184	101-20-2	Triclocarban	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1	basesurface narcotics	no data	0.3094*	from  0.110 to  0.870	Out of domain	22.22%	0.00%	77.78%	Out of domain	Out of domain	Out of Domain
185	126535-15-7	Triflusulfuron-methyl	Cc1cccc(C(=O)OC)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1	Reactive unspecified	no data	<=3.0230*	from  1.311 to  6.972	N/A	N/A	N/A	N/A	N/A	N/A	N/A
186	739-71-9	Trimipramin	CC(CN(C)C)CN1c2ccccc2CCc2ccccc12	basesurface narcotics	no data	0.1321	from  0.040 to  0.440	Out of domain	8.33%	0.00%	91.67%	Out of domain	Out of domain	Out of Domain
187	142469-14-5	Tritosulfuron	COc1nc(C(F)(F)F)nc(NC(=O)NS(=O)(=O)c2ccccc2C(F)(F)F)n1	Reactive unspecified	no data	<=20.0640*	from  9.634 to 41.785	N/A	N/A	N/A	N/A	N/A	N/A	N/A
188	10405-02-4	Trospium	OC(c1ccccc1)(c1ccccc1)C(=O)OC1CC2CCC(C1)N{+}21CCCC1	Reactive unspecified	no data	<=17.7450*	from  6.247 to 50.402	N/A	N/A	N/A	N/A	N/A	N/A	N/A
189	1401-69-0	Tylosin	CCC{P+}1C{P-}(COC{P-}2C{P+}(OC)C{P+}(OC)C{P+}(O)C{P-}(C)O2)/C=C(C)/C=C/C(=O)C{P+}(C)CC{P+}(CC=O)C{P+}(OC{P-}2C{P+}(O)C{P-}(N(C)C)C{P+}(OC{P-}3CC{P-}(C)(O)C{P-}(O)C{P+}(C)O3)C{P-}(C)O2)C{P-}(C)C{P+}(O)CC(=O)O1	Reactive unspecified	no data	<=3375.9495	from 1554.125 to 7333.410	N/A	N/A	N/A	N/A	N/A	N/A	N/A
190	128-13-2	Ursodeoxycholic acid	CC{P+}(CCC(O)=O)C{P-}1CCC{P-}2C{P-}3C{P+}(CCC{P+}12C)C{P-}1(C)CCC{P-}(O)CC{P-}1CC{P+}3O	Reactive unspecified	no data	<=0.4441	from  0.144 to  1.370	N/A	N/A	N/A	N/A	N/A	N/A	N/A
191	1404-90-6	Vancomycin	CC(C)CC{P+}(C(=O)NC1C{P+}(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2OC{P-}2C{P+}(OC{P-}4CC{P+}(C)(N)C{P+}(O)C{P+}(C)O4)C{P-}(O)C{P+}(O)C{P-}(CO)O2)Oc2ccc(cc2Cl)C{P-}(O)C{P-}2C(=O)NC{P-}(C(O)=O)c4cc(O)cc(O)c4-c4cc(ccc4O)C{P+}(C(=O)N2)NC(=O)C{P+}3NC(=O)C{P+}(CC(N)=O)NC1=O)NC	Reactive unspecified	no data	<=312971.3125	from 84599.656 to 1157818.500	N/A	N/A	N/A	N/A	N/A	N/A	N/A
192	52-53-9	Verapamil	CC(C)C(CCCN(C)CCc1ccc(OC)c(OC)c1)(C#N)c1ccc(OC)c(OC)c1	Reactive unspecified	no data	<=0.6677*	from  0.245 to  1.823	N/A	N/A	N/A	N/A	N/A	N/A	N/A
193	274901-16-5	Vildagliptin	N#CC{P+}1CCCN1C(=O)CNC12CC3CC(C1)CC(O)(C2)C3	basesurface narcotics	no data	3088.7998	from 1739.907 to 5483.444	Out of domain	18.18%	0.00%	81.82%	Out of domain	24.11%	Out of Domain
194	526-36-3	Xylometazolin	Cc1cc(C(C)(C)C)cc(C)c1CC1NCCN=1	Reactive unspecified	no data	<=0.1277	from  0.039 to  0.415	N/A	N/A	N/A	N/A	N/A	N/A	N/A
195	30516-87-1	Zidovudine	CC1=CN(C{P-}2CC{P+}(N=N#N)C{P-}(CO)O2)C(=O)NC1=O	Reactive unspecified	no data	<=6670.4634	from 2714.924 to 16389.074	N/A	N/A	N/A	N/A	N/A	N/A	N/A
196	68291-97-4	Zonisamide	NS(=O)(=O)CC1c2ccccc2ON=1	Reactive unspecified	no data	<=3507.0625	from 1368.963 to 8984.526	N/A	N/A	N/A	N/A	N/A	N/A	N/A
197	N/A	Fe	Fe	 	 	 	 	 	 	 	 	 	 	 
198	501-36-0	Resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	phenols and anilines	no data	5.8118	from  3.961 to  8.528	In domain	42.86%	0.00%	57.14%	Out of domain	37.80%	Out of Domain
														
														
Legend:														
< =   is assigned in the report for toxicity prediction in the case with the chemicals with reactive unspecified toxicity mode of action. 														
These chemicals are known to possess reactive groups. 														
"Having no enough data for their toxicity, the base-surface toxicity model (associated with narcotic chemicals) is applied for  evaluating the max LC50 data for the chemicals with reactive unspecified toxicity mode of action."														
This is the upper boundary for LC 50 which could be associated with these chemicals.  														
No domain could be assigned for these chemicals having no sharp prediction values.														
# the substance is a mixture and has not been assessed														
*  Predicted toxicity is greater than the calculated by the fragment method water solubility for this chemical.														
