#	Cas#	Chem. Name	Smiles	Quantity	log Kow	Molecular weight	Water solubility (FR)	Mixture/Salt	Microbial toxicity_NEW	Map reliability	BOD_Observed	BOD	±_BOD	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by BOD	Parameter ranges	Structural domain				Unable to mineralize	Total Domain	Remark
																		Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain			
72	3268-87-9	1,2,3,4,6,7,8,9-O8CDD	Clc1c(Cl)c(Cl)c(Cl)c2c1Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.7343	9.4976	459.7420	0.000009	 	 Aryl halide suspected BOD inhibition effect	0.1297	No data	0.01	0.03	2m 3d	9y 1m 19d	 	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
73	51207-31-9	2,3,7,8-T4CDF	Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)cc1O2	0.9244	6.6273	305.9626	0.006902	 	 Aryl halide suspected BOD inhibition effect	0.1689	No data	0.00	0.02	8m 3d	more than 10 years	 	In domain	57.14%	0.00%	42.86%	Out of domain	In domain	Out of Domain	 
74	57117-41-6	1,2,3,7,8-P5CDF	Clc1cc2c(cc1Cl)-c1c(cc(Cl)c(Cl)c1Cl)O2	0.89	7.2718	340.4077	0.001561	 	 Aryl halide suspected BOD inhibition effect	0.1901	No data	0.00	0.02	5m 15d	more than 10 years	 	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
75	57117-31-4	2,3,4,7,8-P5CDF	Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	0.8746	7.2718	340.4077	0.001561	 	 Aryl halide suspected BOD inhibition effect	0.1585	No data	0.00	0.02	4m 24d	more than 10 years	 	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
76	70648-26-9	1,2,3,4,7,8-H6CDF	Clc1cc2c(cc1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.842	7.9163	374.8528	0.000349	 	 Aryl halide suspected BOD inhibition effect	0.1737	No data	0.00	0.03	3m 22d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
77	57117-44-9	1,2,3,6,7,8-H6CDF	Clc1cc2c(c(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1O2	0.842	7.9163	374.8528	0.000349	 	 Aryl halide suspected BOD inhibition effect	0.1956	No data	0.00	0.03	3m 22d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
78	72918-21-9	1,2,3,7,8,9-H6CDF	Clc1cc2c(c(Cl)c1Cl)-c1c(cc(Cl)c(Cl)c1Cl)O2	0.8569	7.9163	374.8528	0.000349	 	 Aryl halide suspected BOD inhibition effect	0.2086	No data	0.00	0.03	4m 5d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
79	60851-34-5	2,3,4,6,7,8-H6CDF	Clc1cc2c(c(Cl)c1Cl)Oc1c-2cc(Cl)c(Cl)c1Cl	0.8251	7.9163	374.8528	0.000349	 	 Aryl halide suspected BOD inhibition effect	0.1457	No data	0.00	0.03	3m 10d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
80	67562-39-4	1,2,3,4,6,7,8-H7CDF	Clc1cc2c(c(Cl)c1Cl)Oc1c-2c(Cl)c(Cl)c(Cl)c1Cl	0.8096	8.5608	409.2979	0.000078	 	 Aryl halide suspected BOD inhibition effect	0.1608	No data	0.01	0.03	3m 1d	more than 10 years	 	In domain	70.00%	0.00%	30.00%	Out of domain	In domain	Out of Domain	 
81	55673-89-7	1,2,3,4,7,8,9-H7CDF	Clc1cc2c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.8262	8.5608	409.2979	0.000078	 	 Aryl halide suspected BOD inhibition effect	0.2054	No data	0.01	0.03	3m 11d	more than 10 years	 	In domain	70.00%	0.00%	30.00%	Out of domain	In domain	Out of Domain	 
82	39001-02-0	1,2,3,4,6,7,8,9-O8CDF	Clc1c(Cl)c(Cl)c(Cl)c2c1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.7649	9.2053	443.7430	0.000017	 	 Aryl halide suspected BOD inhibition effect	0.1460	No data	0.01	0.03	2m 13d	9y 5m 17d	 	In domain	72.73%	0.00%	27.27%	Out of domain	In domain	Out of Domain	 
83	32598-13-3	3,3’,4,4’-T4CB	Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl	0.927	6.3350	291.9794	0.0322	 	 Aryl halide suspected BOD inhibition effect	0.2244	No data	0.01	0.06	8m 13d	5y 7m 1d	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
84	70362-50-4	3,3’,4’,5-T4CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1	0.8926	6.3350	291.9794	0.0322	 	 Aryl halide suspected BOD inhibition effect	0.1020	No data	0.01	0.05	5m 19d	6y 8m 0d	 	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
85	32598-14-4	2,3,3',4,4'-P5CB	Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl	0.8758	6.9795	326.4245	0.007328	 	 Aryl halide suspected BOD inhibition effect	0.2242	No data	0.01	0.07	4m 26d	4y 11m 22d	 	In domain	71.43%	0.00%	28.57%	Out of domain	In domain	Out of Domain	 
86	74472-37-0	2,3,4,4',5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1	0.8433	6.9795	326.4245	0.007328	 	 Aryl halide suspected BOD inhibition effect	0.1123	No data	0.01	0.05	3m 23d	5y 9m 17d	 	In domain	71.43%	0.00%	28.57%	Out of domain	In domain	Out of Domain	 
87	31508-00-6	2,3',4,4',5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl	0.8926	6.9795	326.4245	0.007328	 	 Aryl halide suspected BOD inhibition effect	0.1376	No data	0.01	0.04	5m 19d	7y 8m 30d	 	In domain	71.43%	0.00%	28.57%	Out of domain	In domain	Out of Domain	 
88	65510-44-3	2,3',4,4',5'-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1	0.8926	6.9795	326.4245	0.007328	 	 Aryl halide suspected BOD inhibition effect	0.1979	No data	0.01	0.04	5m 19d	7y 10m 0d	 	In domain	57.14%	0.00%	42.86%	Out of domain	In domain	Out of Domain	 
89	57465-28-8	3,3’,4,4’,5-P5CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl	0.8926	6.9795	326.4245	0.007328	 	 Aryl halide suspected BOD inhibition effect	0.2048	No data	0.01	0.04	5m 19d	7y 10m 10d	 	In domain	57.14%	0.00%	42.86%	Out of domain	In domain	Out of Domain	 
90	38380-08-4	2,3,3',4,4',5-H6CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl	0.8433	7.6240	360.8696	0.001647	 	 Aryl halide suspected BOD inhibition effect	0.1934	No data	0.01	0.05	3m 23d	6y 7m 27d	 	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
91	69782-90-7	2,3,3',4,4',5'-H6CB	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1Cl	0.8433	7.6240	360.8696	0.001647	 	 Aryl halide suspected BOD inhibition effect	0.2194	No data	0.01	0.05	3m 23d	6y 8m 18d	 	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
92	52663-72-6	2,3',4,4',5,5'-H6CB	Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)cc(Cl)c1Cl	0.8758	7.6240	360.8696	0.001647	 	 Aryl halide suspected BOD inhibition effect	0.0533	No data	0.00	0.03	4m 26d	more than 10 years	 	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
93	32774-16-6	3,3’,4,4’,5,5’-H6CB	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl	0.8594	7.6240	360.8696	0.001647	 	 Aryl halide suspected BOD inhibition effect	0.1263	No data	0.00	0.03	4m 8d	more than 10 years	 	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
94	39635-31-9	2,3,3',4,4',5,5'-H7CB	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl	0.8274	8.2685	395.3147	0.000367	 	 Aryl halide suspected BOD inhibition effect	0.1736	No data	0.01	0.03	3m 12d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
95	74070-46-5	Aclonifen	Nc1c(N(=O)=O)ccc(Oc2ccccc2)c1Cl	0.0009366	3.8797	264.6551	5.7033	 	 Aryl halide suspected BOD inhibition effect;Nitroarenes suspected BOD inhibition effect	0.1927	No data	0.01	0.03	2.78 days	9y 6m 1d	 	In domain	62.50%	0.00%	37.50%	Out of domain	In domain	Out of Domain	 
96	42576-02-3	Bifenox	COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	0.1047	4.1516	342.1191	1.1449	 	 Aryl halide suspected BOD inhibition effect;Nitroarenes suspected BOD inhibition effect	0.1413	No data	0.19	0.06	8.60 days	2m 30d	 	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
97	28159-98-0	Cybutryne	CC(C)(C)Nc1nc(NC2CC2)nc(SC)n1	0.9338	4.0740	253.3591	20.3126	 	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	0.0386	No data	0.00	0.01	9m 10d	more than 10 years	 	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
98	52315-07-8	Cypermethrin	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.08188	6.3752	416.2802	0.0165	 	 (N/A)	0.0975	No data	0.08	5.04	7.76 days	8m 3d	 	In domain	94.44%	0.00%	5.56%	Out of domain	In domain	Out of Domain	 
99	67375-30-8	Alpha cypermethrin	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.08188	6.3752	416.2802	0.0165	 	 (N/A)	0.0975	No data	0.08	5.04	7.76 days	8m 3d	 	In domain	94.44%	0.00%	5.56%	Out of domain	In domain	Out of Domain	 
100	62-73-7	Dichlorvos	COP(=O)(OC)OC=C(Cl)Cl	0.8438	0.6029	220.9713	149714.9844	 	 (N/A)	0.0573	No data	0.06	0.09	3m 24d	10m 24d	 	In domain	18.18%	0.00%	81.82%	Out of domain	In domain	Out of Domain	 
101	76-44-8	Heptachlor	ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	0.7849	5.8644	373.3105	0.009154	 	 (N/A)	0.0692	0.000	0.02	0.02	2m 21d	2y 9m 9d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
102	1024-57-3	Heptachlor epoxide	ClC1C2C(C3C1C1(Cl)C(Cl)=C(Cl)C3(Cl)C1(Cl)Cl)O2	1E-005	4.5634	389.3095	0.0844	 	 (N/A)	0.2152	No data	0.06	0.01	1.69 days	10m 22d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
103	886-50-0	Terbutryn	CCNc1nc(NC(C)(C)C)nc(SC)n1	0.9422	3.7688	241.3491	41.5504	 	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	0.0930	No data	0.00	0.01	10m 22d	more than 10 years	 	In domain	90.91%	0.00%	9.09%	Out of domain	In domain	Out of Domain	 
104	57-63-6	17alpha-ethinylestradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	0.7987	4.1159	296.3876	13.2323	 	 Alkyne suspected BOD inhibition effect	0.0034	No data	0.01	0.01	2m 27d	6y 6m 27d	 	In domain	76.47%	0.00%	23.53%	Out of domain	In domain	Out of Domain	 
105	50-28-2	17beta-estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	1E-005	3.9429	272.3676	50.0746	 	 (N/A)	0.1243	No data	0.24	0.02	1.69 days	2m 13d	 	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
106	15307-79-6	Diclofenac	O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)O{-}.[Na]{+}	0	0.5709	318.1198	2.9037	Salt	 Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect	0.3214	No data	0.00	0.02	 < 1 day	more than 10 years	 	In domain	70.00%	0.00%	30.00%	Out of domain	In domain	Out of Domain	 
106.1	 	 	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	0.9614	4.0157	296.1379	10.8865	 	 Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect	1.0000	No data	0.00	0.02	1y 4m 8d	more than 10 years	 	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
106.2	 	 	O{-}.[Na]{+}	1	-3.8796	39.9967	1000000.0625	 	 (N/A)	1.0000	No data	Can't predict	 	more than 10 years	more than 10 years	 	 	 	 	 	 	 	N/A	 
107	25637-99-4	1,3,5,7,9,11-Hexabromocyclododecane	BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1	0.8681	7.7422	641.7222	0.003072	 	 (N/A)	0.2514	No data	0.00	0.00	4m 17d	more than 10 years	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
108	3194-55-6	1,2,5,6,9,10- Hexabromocyclododecane	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	0.7536	7.7422	641.7223	0.003072	 	 (N/A)	0.1715	No data	0.00	0.00	2m 9d	more than 10 years	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 

The report was created for C:\Users\Yulia Stoyanov\Desktop\CAS list of 108 substances.smi

Legend:
< =   is assigned in the report for toxicity prediction in the case with the chemicals with reactive unspecified toxicity mode of action. 
These chemicals are known to possess reactive groups. 
Having no enough data for their toxicity, the base-surface toxicity model (associated with narcotic chemicals) is applied for  evaluating the max LC50 data for the chemicals with reactive unspecified toxicity mode of action.
This is the upper boundary for LC 50 which could be associated with these chemicals.  
No domain could be assigned for these chemicals having no sharp prediction values.

*  Predicted toxicity is greater than the calculated by the fragment method water solubility for this chemical.
