Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
192-97-2	Benzo(e)pyrene	c1cccc2c1c1cccc3ccc4cccc2c4c13	0.078	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	0.078	in vivo Liver Clastogen positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
203-12-3	"Benzo(g,h,i)fluoranthene"	c1ccc2ccc3ccc4cccc5c1c2c3c45	0	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0	in vivo Liver Clastogen negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	Out of Domain
191-24-2	"Benzo(g,h,i)perylene"	c1ccc2ccc3ccc4ccc5cccc6c1c2c3c4c56	0	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
205-82-3	Benzo(j)fluoranthene	c1cccc2ccc3c4cccc5cccc(c3c12)c45	0.1003	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1003	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
207-08-9	Benzo(k)fluoranthene	c1cccc2cc3c4cccc5cccc(c3cc12)c45	0.1003	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1003	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
119-61-9	Benzophenone	O=C(c1ccccc1)c1ccccc1	0.4762	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.4762	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
131-57-7	Benzophenone-3 (2-Hydroxy-4-methoxy-benzophenone)	COc1ccc(C(=O)c2ccccc2)c(O)c1	0.4535	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 23. Phenolic Derivatives	In domain	42.86%	0.00%	57.14%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4535	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
4065-45-6	Benzophenone-4	COc1cc(O)c(C(=O)c2ccccc2)cc1S(O)(=O)=O	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	18.18%	9.09%	72.73%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
95-16-9	Benzothiazole	c1cccc2c1N=CS2	0.051	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.051	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
613-62-7	Benzyl-2-naphthylether (phenylmethoxynaphthaline)	C(c1ccccc1)Oc1ccc2ccccc2c1	0.1652	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.1652	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
139-07-1	Benzyldimethyldodecylammonium	CCCCCCCCCCCCN{+}(C)(C)(.Cl{-})Cc1ccccc1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
122-18-9	Benzyldimethylhexadecylammonium	CCCCCCCCCCCCCCCCN{+}(C)(C)(.Cl{-})Cc1ccccc1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	72.73%	0.00%	27.27%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
50-28-2	Beta-estradiol	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	0.523	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	66.67%	6.67%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.523	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
319-85-7	beta-Hexaxchlorocyclohexane (beta-HCH)	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	0.5329	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Vicinal Dihaloalkanes,Halogenated Vicinal Hydrocarbons"	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Vicinal Dihaloalkanes,alpha-Activated Haloalkanes"	 	 	0.5329	in vivo Liver Clastogen negative	 	"Vicinal Dihaloalkanes,Halogenated Vicinal Hydrocarbons"	 	 	 	Out of Domain
63659-18-7	Betaxolol	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	0.1712	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	64.71%	5.88%	29.41%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1712	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
41859-67-0	Bezafibrate	CC(C)(C(O)=O)Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1	0.1987	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain	 	Belongs to deacivated path	* 52. Carboxylic acid amines	In domain	80.00%	0.00%	20.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain	 	 	0.1987	in vivo Liver Clastogen negative	 	DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain	 	Belongs to deacivated path	* 52. Carboxylic acid amines	Out of Domain
128-37-0	BHT (Dibutylhydroxytoluene)	Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	0.3697	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 19. Phenolic Derivatives;* 21. Phenolic Derivatives	In domain	54.55%	0.00%	45.45%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	0.3697	in vivo Liver Clastogen negative	 	Substituted Phenols	 	Belongs to deacivated path	* 19. Phenolic Derivatives;* 21. Phenolic Derivatives	Out of Domain
42576-02-3	Bifenox	COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	0.4677	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Nitrobiphenyls and Bridged Nitrobiphenyls	Undetermined (0 <n< 10)	 	 	In domain	58.33%	0.00%	41.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Nitrobiphenyls and Bridged Nitrobiphenyls	Undetermined (0 <n< 10)	 	0.4677	in vivo Liver Clastogen positive	Interaction with DNA 	Nitrobiphenyls and Bridged Nitrobiphenyls	Undetermined (0 <n< 10)	 	 	Out of Domain
92-52-4	Biphenyl	c1ccccc1-c1ccccc1	0.1126	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1126	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
80-07-9	Bis(4-chlorophenyl)sulfone	O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1	0.3943	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3943	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
7440-69-9	Bismuth (Bi) - total	[Bi]																													
66722-44-9	Bisoprolol	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	0.1712	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	66.67%	11.11%	22.22%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1712	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
80-05-7	Bisphenol A	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain	57.14%	0.00%	42.86%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
620-92-8	Bisphenol F	Oc1ccc(Cc2ccc(O)cc2)cc1	0.4671	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.4671	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	20. Phenolic Derivatives;26. Phenolic Derivatives	Out of Domain
80-09-1	Bisphenol S	Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
188425-85-6	Boscalid	O=C(c1cccnc1Cl)Nc1ccccc1-c1ccc(Cl)cc1	0.2799	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Carboxylic Acid Amides	 	Belongs to deacivated path	* 52. Carboxylic acid amines;53. Carboxylic acid amines	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2799	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
1812-30-2	Bromazepam	O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	0.1974	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Carboxylic Acid Amides	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1974	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
1689-84-5	Bromoxynil	N#Cc1cc(Br)c(O)c(Br)c1	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain	16.67%	0.00%	83.33%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
30007-47-7	"Bronidox (5-brom-5-nitro-1,3-dioxan)"	O=N(=O)C1(Br)COCOC1	0	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	20.00%	30.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
941-57-1	BTSA (2-Benzothiazolsulfonic acid)	OS(=O)(=O)C1=Nc2ccccc2S1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
2752-95-6	Butyl diphenylphosphate	CCCCOP(=O)(Oc1ccccc1)Oc1ccccc1	0.1393	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	 	 	 	In domain	54.55%	0.00%	45.45%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.1393	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinones and Trihydroxybenzenes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
94-26-8	Butyl paraben	CCCCOC(=O)c1ccc(O)cc1	0.356	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Arenecarboxylic Acid Esters	Undetermined (0 <n< 10)	Belongs to deacivated path	21. Phenolic Derivatives;25. Phenolic Derivatives	In domain	66.67%	0.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Dicarbonyl Compounds	Undetermined (0 <n< 10)	Belongs to deacivated path	0.356	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Arenecarboxylic Acid Esters	Undetermined (0 <n< 10)	Belongs to deacivated path	21. Phenolic Derivatives;25. Phenolic Derivatives	Out of Domain
85535-84-8	C10-C13 Chloroalkanes	CCCCCC(Cl)CCCC	0.2461	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	81.82%	0.00%	18.18%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2461	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
7440-43-9	Cadmium (Cd) - dissolved	[Cd]																													
7440-43-9	Cadmium (Cd) - total	[Cd]_[Cd]																													
58-08-2	Caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	0.0279	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrimidines and Purines	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrimidines and Purines	Undetermined (0 <n< 10)	 	0.0279	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrimidines and Purines	Undetermined (0 <n< 10)	 	 	Out of Domain
7440-70-2	Calcium (Ca) – total	[Ca]																													
7440-70-2	Calcium (Ca) – total	[Ca]_[Ca]																													
976-71-6	Canrenone	CC12CCC3C(C=CC4=CC(=O)CCC34C)C1CCC21CCC(=O)O1	0.1925	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Four-and Five-Membered Lactones,alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	92.00%	0.00%	8.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Epoxides and Aziridines,Four-and Five-Membered Lactones"	 	 	0.1925	in vivo Liver Clastogen negative	 	"Four-and Five-Membered Lactones,alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	Out of Domain
154361-50-9	Capecitabine	CCCCCOC(=O)NC1C(F)=CN(C2C(O)C(O)C(C)O2)C(=O)N=1	0.1195	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	In domain	48.00%	0.00%	52.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	0.1195	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	Out of Domain
298-46-4	Carbamazepine	NC(=O)N1c2ccccc2C=Cc2ccccc12	0.2301	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2301	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
63-25-2	Carbaryl	CNC(=O)Oc1cccc2ccccc12	0.3285	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.3285	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	Out of Domain
10605-21-7	Carbendazim	COC(=O)NC1Nc2ccccc2N=1	0.3193	in vivo Liver Clastogen positive	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	0.3193	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Carbamates	Undetermined (0 <n< 10)	 	 	In domain
128639-02-1	Carfentrazon-ethyl	CCOC(=O)C(Cl)Cc1cc(N2C(=O)N(C(F)F)C(C)=N2)c(F)cc1Cl	0.4017	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	alpha-Activated Haloalkanes	 	 	 	In domain	19.05%	4.76%	76.19%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	0.4017	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	Out of Domain
33704-61-9	Cashmeran	CC1C(C)(C)C2CCCC(=O)C=2C1(C)C	0.1417	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	Belongs to deacivated path	* 29. Unsaturated Compounds	In domain	46.67%	0.00%	53.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	Belongs to deacivated path	0.1417	in vivo Liver Clastogen negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	Belongs to deacivated path	* 29. Unsaturated Compounds	Out of Domain
13171-00-1	Celestolide	CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C_R	0.1791	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	61.54%	0.00%	38.46%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1791	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
83881-51-0	Cetirizine	OC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	0.2692	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	64.71%	11.76%	23.53%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2692	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
56-75-7	Chloramphenicol	OCC(C(O)c1ccc(N(=O)=O)cc1)NC(=O)C(Cl)Cl	0.2936	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	p-Substituted Mononitrobenzenes	Undetermined (0 <n< 10)	 	 	In domain	46.67%	0.00%	53.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	p-Substituted Mononitrobenzenes	Undetermined (0 <n< 10)	 	0.2936	in vivo Liver Clastogen positive	Interaction with DNA 	p-Substituted Mononitrobenzenes	Undetermined (0 <n< 10)	 	 	Out of Domain
470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	0.3325	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	In domain	26.67%	0.00%	73.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates,Substituted Phenols"	Undetermined (0 <n< 10)	 	0.3325	in vivo Liver Clastogen positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	Out of Domain
1698-60-8	Chloridazon	NC1C=NN(c2ccccc2)C(=O)C=1Cl	0.375	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.375	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
6339-19-1	Chloridazon-desphenyl	NC1C=NNC(=O)C=1Cl	0.4444	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polarised Haloalkenes Derivatives	Undetermined (0 <n< 10)	 	0.4444	in vivo Liver Clastogen positive	Interaction with DNA 	Polarised Haloalkenes Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
*-20-5	Chloridazon-methyl-desphenyl	CN1C(=O)C(Cl)=C(N)C=N1	0.1984	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polarised Haloalkenes Derivatives	Undetermined (0 <n< 10)	 	0.1984	in vivo Liver Clastogen positive	Interaction with DNA 	Polarised Haloalkenes Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
16887-00-6	Chlorides (Cl-)	Cl{-}																													
7003-89-6	Chlormequat	CN{+}(C)(C)CCCl	0.4543	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Nitrogen Mustards	Undetermined (0 <n< 10)	 	 	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Nitrogen Mustards	Undetermined (0 <n< 10)	 	0.4543	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Nitrogen Mustards	Undetermined (0 <n< 10)	 	 	Out of Domain
120-32-1	Chlorophene	Oc1ccc(Cl)cc1Cc1ccccc1	0.5087	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	20. Phenolic Derivatives;26. Phenolic Derivatives	In domain	40.00%	0.00%	60.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.5087	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	20. Phenolic Derivatives;26. Phenolic Derivatives	Out of Domain
*-20-9	Chlorophyll-a (phytoplankton - fluorescence)	 																													
1897-45-6	Chlorothalonil	N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl	0.6667	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	 	 	 	 	 	 	0.6667	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
