No	CAS	Name	SMILES	Pimephales promelas mode of action	Pimephales promelas_Observed	Pimephales promelas_StructCalcValue_Toxicity mg/L	Pimephales promelas_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain	Microbial toxicity_NEW	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
76	120067-83-6	Fipronil-sulfid	NC1=C(SC(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	Reactive unspecified	no data	<=0.5377*	from  0.386 to  0.749	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Nitrile suspected BOD inhibition effect"	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain	 
77	120068-36-2	Fipronil-sulfon	NC1=C(S(=O)(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	Reactive unspecified	no data	<=1.0759	from  0.768 to  1.507	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Nitrile suspected BOD inhibition effect"	In domain	45.45%	0.00%	54.55%	Out of domain	In domain	Out of Domain	 
78	54143-55-4	Flecainid	O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1	basesurface narcotics	no data	3.718	from  2.917 to  4.738	In domain	43.48%	0.00%	56.52%	Out of domain	25.65%	Out of Domain	 (N/A)	In domain	86.96%	0.00%	13.04%	Out of domain	In domain	Out of Domain	 
79	86386-73-4	Fluconazol	OC(CN1C=NC=N1)(CN1C=NC=N1)c1ccc(F)cc1F	Reactive unspecified	no data	<=2942.6257	from 2053.016 to 4217.721	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	11.76%	0.00%	88.24%	Out of domain	In domain	Out of Domain	 
80	514-36-3	Fludrocortison	CC(=O)OCC(=O)C{P-}1(O)CCC{P-}2C{P+}3CCC4=CC(=O)CCC{P-}4(C)C{P+}3(F)C{P-}(O)CC{P+}12C	Reactive unspecified	no data	<=121.9026*	from 101.660 to 146.176	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain	 
81	142459-58-3	Flufenacet	CC(C)N(C(=O)COC1=NN=C(C(F)(F)F)S1)c1ccc(F)cc1	Reactive unspecified	no data	<=45.3251	from 33.592 to 61.157	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect"	In domain	42.11%	0.00%	57.89%	Out of domain	In domain	Out of Domain	 
82	201668-31-7	Flufenacet-OXA	CC(C)N(c1ccc(F)cc1)C(=O)C(O)=O	Reactive unspecified	no data	<=911.2596	from 683.524 to 1214.872	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect"	In domain	27.27%	0.00%	72.73%	Out of domain	In domain	Out of Domain	 
83	530-78-9	Flufenaminsäure	OC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1	Reactive unspecified	no data	<=0.3026*	from  0.224 to  0.410	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	90.00%	0.00%	10.00%	Out of domain	In domain	Out of Domain	 
84	54910-89-3	Fluoxetin	CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	narcotic amines	no data	1.4098*	from  0.703 to  2.829	Out of domain	16.67%	0.00%	83.33%	Out of domain	20.24%	Out of Domain	 (N/A)	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
85	85509-19-9	Flusilazol	C[Si](CN1C=NC=N1)(c1ccc(F)cc1)c1ccc(F)cc1	Reactive unspecified	no data	<=0.6142	from  0.466 to  0.810	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	16.67%	0.00%	83.33%	Out of domain	In domain	Out of Domain	 
86	93957-54-1	Fluvastatin	CC(C)N1c2ccccc2C(c2ccc(F)cc2)=C1/C=C/C{P-}(O)CC{P+}(O)CC(O)=O	Reactive unspecified	no data	<=0.8568	from  0.652 to  1.127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	55.00%	0.00%	45.00%	Out of domain	In domain	Out of Domain	 
87	98048-97-6	Fosinopril	CCC(=O)OC(C(C)C)OP(=O)(CCCCc1ccccc1)CC(=O)N1CC{P+}(C2CCCCC2)CC{P-}1C(O)=O	Reactive unspecified	no data	<=0.1535	from  0.105 to  0.224	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	73.53%	0.00%	26.47%	Out of domain	In domain	Out of Domain	 
88	54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl	Reactive unspecified	no data	<=60.2439	from 46.880 to 77.417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aromatic amine suspected BOD inhibition effect;Aryl halide suspected BOD inhibition effect"	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
89	256393-37-0	Galaxolidon	CC1COC(=O)c2cc3c(cc12)C(C)(C)C(C)C3(C)C	esters	no data	0.2788*	from  0.098 to  0.790	Out of domain	40.00%	0.00%	60.00%	Out of domain	10.88%	Out of Domain	 (N/A)	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
90	125-29-1	Hydrocodone	CN1CCC{P-}23C{P-}4CCC(=O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	narcotic amines	no data	58.7436	from 40.539 to 85.123	Out of domain	41.18%	5.88%	52.94%	Out of domain	59.88%	Out of Domain	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	58.82%	0.00%	41.18%	Out of domain	In domain	Out of Domain	 
91	50-23-7	Hydrocortison	CC{P+}12CCC(=O)C=C1CCC{P+}1C{P+}2C{P-}(O)CC{P-}2(C)C{P-}1CCC{P-}2(O)C(=O)CO	Reactive unspecified	no data	<=372.3232*	from 304.182 to 455.729	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	80.77%	0.00%	19.23%	Out of domain	In domain	Out of Domain	 
92	3778-73-2	Ifosfamid	O=P1(NCCCl)N(CCCl)CCCO1	Reactive unspecified	no data	<=1224.0840	from 994.894 to 1506.072	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	35.71%	0.00%	64.29%	Out of domain	In domain	Out of Domain	 
93	115970-17-7	Imidacloprid-desnitro	O=N(=O)NC1=NCCN1Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=8271.6182	from 5413.169 to 12639.485	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Pyridine suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	8.33%	16.67%	75.00%	Out of domain	In domain	Out of Domain	 
94	120868-66-8	Imidacloprid-urea	OC1=NCCN1Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=1116.3936	from 826.418 to 1508.116	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Pyridine suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	11.11%	0.00%	88.89%	Out of domain	In domain	Out of Domain	 
95	256-96-2	Iminostilben	C1=Cc2ccccc2Nc2ccccc12	basesurface narcotics	no data	1.8501	from  1.490 to  2.297	In domain	0.00%	0.00%	100.00%	Out of domain	37.33%	Out of Domain	 (N/A)	In domain	20.00%	0.00%	80.00%	Out of domain	In domain	Out of Domain	 
96	53-86-1	Indomethacin	CC1=C(CC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	Reactive unspecified	no data	<=1.8716*	from  1.446 to  2.423	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	46.67%	0.00%	53.33%	Out of domain	In domain	Out of Domain	 
97	140923-17-7	Iprovalicarb	CC(C)C{P-}(C(O)=NC(C)c1ccc(C)cc1)N=C(O)OC(C)C	Reactive unspecified	no data	<=0.7235	from  0.546 to  0.959	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	44.44%	0.00%	55.56%	Out of domain	In domain	Out of Domain	 
98	N/A	Irgarol-descyclopropyl	CC(C)(C)Nc1nc(N)nc(SC)n1	Reactive unspecified	no data	<=29.1329	from 24.996 to 33.954	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	77.78%	0.00%	22.22%	Out of domain	In domain	Out of Domain	 
99	56046-17-4	Isoproturon-didemethyl = 1-(4-Isoprophenyl)urea	CC(C)c1ccc(NC(N)=O)cc1	basesurface narcotics	no data	67.9648	from 57.394 to 80.483	In domain	25.00%	0.00%	75.00%	Out of domain	64.39%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Urea derivatives BOD inhibition effect"	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
100	34123-57-4	Isoproturon-monodemethyl = 1-(4-Isoprophenyl)-3-methylurea	CC(C)c1ccc(NC(=O)NC)cc1	basesurface narcotics	no data	29.883	from 25.417 to 35.133	In domain	22.22%	0.00%	77.78%	Out of domain	81.40%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Urea derivatives BOD inhibition effect"	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
101	65277-42-1	Ketoconazol	CC(=O)N1CCN(c2ccc(OCC{P+}3COC{P-}(CN4C=CN=C4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	Reactive unspecified	no data	<=2.2010	from  1.714 to  2.827	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	88.46%	0.00%	11.54%	Out of domain	In domain	Out of Domain	 
102	102767-28-2	Levetiracetam	CCC{P+}(C(N)=O)N1CCCC1=O	basesurface narcotics	no data	13928.2607	from 10032.458 to 19336.883	In domain	33.33%	0.00%	66.67%	Out of domain	Out of domain	Out of Domain	 (N/A)	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
103	165800-03-3	Linezolid	CC(=O)NCC{P-}1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	Reactive unspecified	no data	<=581.5576	from 453.208 to 746.255	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect"	In domain	68.42%	0.00%	31.58%	Out of domain	In domain	Out of Domain	 
104	846-49-1	Lorazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N1	Reactive unspecified	no data	<=53.7115*	from 42.727 to 67.521	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
105	75330-75-5	Lovastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P-}(C)C=C2C=CC{P+}(C)C{P+}(CCC{P+}3CC{P-}(O)CC(=O)O3)C{P-}12	esters	no data	1.1196*	from  0.454 to  2.763	Out of domain	13.79%	0.00%	86.21%	Out of domain	Out of domain	Out of Domain	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	72.41%	0.00%	27.59%	Out of domain	In domain	Out of Domain	 
106	94-81-5	MCPB	Cc1cc(Cl)ccc1OCCCC(O)=O	Reactive unspecified	no data	<=6.6823	from  5.574 to  8.011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
107	93-65-2	Mecoprop	CC(C(O)=O)Oc1ccc(Cl)cc1C	Reactive unspecified	no data	<=15.2690	from 12.584 to 18.527	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	88.89%	0.00%	11.11%	Out of domain	In domain	Out of Domain	 
108	110235-47-7	Mepanipyrim	CC#Cc1cc(C)nc(Nc2ccccc2)n1	basesurface narcotics	no data	5.994	from  4.902 to  7.329	In domain	14.29%	0.00%	85.71%	Out of domain	28.38%	Out of Domain	 Aromatic amine suspected BOD inhibition effect	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
109	1189805-46-6	Mephedron (4-Methylmethcathinon)	CC(C(=O)c1ccc(C)cc1)NC	narcotic amines	no data	24.4973	from 16.525 to 36.315	In domain	25.00%	0.00%	75.00%	Out of domain	52.65%	Out of Domain	 (N/A)	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
110	96-88-8	Mepivacaine	Cc1cccc(C)c1NC(=O)C1CCCCN1C	basesurface narcotics	no data	139.0155	from 116.773 to 165.494	In domain	61.54%	0.00%	38.46%	Out of domain	53.14%	Out of Domain	" Aromatic amine suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect"	In domain	76.92%	0.00%	23.08%	Out of domain	In domain	Out of Domain	 
111	54340-58-8	Meptazinol	CCC1(c2cccc(O)c2)CCCCN(C)C1	phenols and anilines	no data	3.0763	from  2.283 to  4.145	In domain	41.67%	0.00%	58.33%	Out of domain	37.63%	Out of Domain	 (N/A)	In domain	83.33%	0.00%	16.67%	Out of domain	In domain	Out of Domain	 
112	36993-94-9	Metamitron-Desamino	CC1NN=C(c2ccccc2)C(=O)N=1	Reactive unspecified	no data	<=221.4420	from 172.149 to 284.849	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Unsaturated heterocyclic suspected BOD inhibition effect	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
113	1665-48-1	Metaxalone	Cc1cc(C)cc(OCC2CNC(=O)O2)c1	Reactive unspecified	no data	<=37.1346	from 31.656 to 43.561	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	54.55%	0.00%	45.45%	Out of domain	In domain	Out of Domain	 
114	N/A	Metazachlor-OXA	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)C(O)=O	Reactive unspecified	no data	<=1895.9628	from 1415.631 to 2539.274	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	13.33%	0.00%	86.67%	Out of domain	In domain	Out of Domain	 
115	125116-23-6	Metconazole	CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)CN1C=NC=N1	Reactive unspecified	no data	<=2.4709	from  1.979 to  3.085	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	52.94%	0.00%	47.06%	Out of domain	In domain	Out of Domain	 
116	76-99-3	Methadon	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	narcotic amines	no data	2.9078	from  1.556 to  5.433	Out of domain	46.15%	0.00%	53.85%	Out of domain	19.83%	Out of Domain	 (N/A)	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
117	77-41-8	Methsuximide	CC1(c2ccccc2)CC(=O)N(C)C1=O	basesurface narcotics	no data	299.2722	from 243.728 to 367.475	In domain	20.00%	0.00%	80.00%	Out of domain	38.11%	Out of Domain	 (N/A)	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
118	83-43-2	Methylprednisolon	CC{P-}1CC{P-}2C{P+}3CCC{P+}(O)(C(=O)CO)C{P+}3(C)CC{P+}(O)C{P+}2C{P-}2(C)C=CC(=O)C=C12	Reactive unspecified	no data	<=222.5848*	from 178.511 to 277.541	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	62.96%	0.00%	37.04%	Out of domain	In domain	Out of Domain	 
119	7232-21-5	Metoclopramid	CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC	Reactive unspecified	no data	<=44.5526	from 37.181 to 53.386	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
120	152019-73-3	Metolachlor-OXA	CCc1cccc(C)c1N(C(C)COC)C(=O)C(O)=O	Reactive unspecified	no data	<=406.3229	from 326.720 to 505.321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
121	139528-85-1	Metosulam	Cc1ccc(Cl)c(NS(=O)(=O)C2Nn{+}3c(OC)cc(OC)nc3N=2)c1Cl	Reactive unspecified	no data	<=1.3565	from  0.689 to  2.670	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	31.25%	0.00%	68.75%	Out of domain	In domain	Out of Domain	 
122	35045-02-4	Metribuzin-Desamino (DA)	CC(C)(C)C1C(=O)N=C(SC)NN=1	Reactive unspecified	no data	<=201.9407	from 155.293 to 262.600	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Tert-Butyl suspected inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	23.08%	0.00%	76.92%	Out of domain	In domain	Out of Domain	 
123	71320-77-9	Moclobemid	O=C(c1ccc(Cl)cc1)NCCN1CCOCC1	basesurface narcotics	no data	529.3083	from 404.456 to 692.702	In domain	61.54%	0.00%	38.46%	Out of domain	13.35%	Out of Domain	" Aryl halide suspected BOD inhibition effect;Saturated heterocyclic suspected BOD  inhibition effect"	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
124	24280-93-1	Mycophenolsäure	CC(\CCC(O)=O)=C/Cc1c(OC)c(C)c2COC(=O)c2c1O	Reactive unspecified	no data	<=1.8365	from  1.433 to  2.354	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Phenols suspected BOD inhibition effect	In domain	72.22%	0.00%	27.78%	Out of domain	In domain	Out of Domain	 
125	93413-77-5	N,N-Didesvenlafaxin	OC=NCCN=CO	Reactive unspecified	no data	<=821070.7500	from 467395.406 to 1442369.875	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
126	135308-74-6	N,O-Didesvenlafaxin	CNCC(c1ccc(O)cc1)C1(O)CCCCC1	phenols and anilines	no data	23.9723	from 19.185 to 29.955	In domain	30.77%	0.00%	69.23%	Out of domain	67.38%	Out of Domain	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	84.62%	0.00%	15.38%	Out of domain	In domain	Out of Domain	 
127	127-74-2	N4-Acetyl-Sulfadiazin	CC(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	Reactive unspecified	no data	<=2027.3010	from 1408.698 to 2917.552	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	70.00%	0.00%	30.00%	Out of domain	In domain	Out of Domain	 
128	24341-30-8	N4-Acetyl-Sulfadimethoxin	CC(=O)Nc1ccc(S(=O)(=O)Nc2nc(OC)cc(OC)n2)cc1	Reactive unspecified	no data	<=326.3465	from 244.564 to 435.478	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	64.29%	0.00%	35.71%	Out of domain	In domain	Out of Domain	 
129	100-90-3	N4-Acetyl-Sulfamethazin	Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)n1	Reactive unspecified	no data	<=291.6581	from 220.075 to 386.525	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
130	127-76-4	N4-acetyl-Sulfathiazol	CC(=O)Nc1ccc(S(=O)(=O)NC2=NC=CS2)cc1	Reactive unspecified	no data	<=269.0380*	from 198.881 to 363.944	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain	 
131	985-16-0	Nafcillin	CCOc1ccc2ccccc2c1C(O)=NC{P-}1C{P+}2N(C{P-}(C(O)=O)C(C)(C)S2)C1=O	Reactive unspecified	no data	<=0.9175	from  0.691 to  1.218	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Naphtalene suspected inhibition effect	In domain	45.00%	0.00%	55.00%	Out of domain	In domain	Out of Domain	 
132	149289-30-5	N-Desvenlafaxin	CNCC(c1ccc(OC)cc1)C1(O)CCCCC1	narcotic amines	no data	13.0633	from  8.142 to 20.959	In domain	50.00%	0.00%	50.00%	Out of domain	37.12%	Out of Domain	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	85.71%	0.00%	14.29%	Out of domain	In domain	Out of Domain	 
133	20702-77-6	Neohesperidin dihydrochalcon	CC{P-}1C{P+}(O)C{P-}(O)C{P-}(O)C{P+}(OC{P+}2C{P-}(O)C{P+}(O)C{P-}(CO)OC{P-}2Oc2cc(O)c(C(=O)CCc3ccc(OC)c(O)c3)c(O)c2)O1	phenols and anilines	no data	1572.2957	from 998.627 to 2475.513	Out of domain	12.12%	0.00%	87.88%	Out of domain	Out of domain	Out of Domain	 (N/A)	In domain	84.85%	0.00%	15.15%	Out of domain	In domain	Out of Domain	 
134	165450-17-9	Neotam	CC(C)(C)CCNC{P+}(CC(O)=O)C(=O)NC{P+}(Cc1ccccc1)C(=O)OC	Reactive unspecified	no data	<=36.8361	from 31.360 to 43.269	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Tert-Butyl suspected inhibition effect	In domain	90.91%	0.00%	9.09%	Out of domain	In domain	Out of Domain	 
135	579-10-2	N-Methylacetanilid	CC(=O)N(C)c1ccccc1	basesurface narcotics	no data	585.9435	from 459.519 to 747.150	In domain	50.00%	0.00%	50.00%	Out of domain	25.65%	Out of Domain	 Aromatic amine suspected BOD inhibition effect	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
136	128-62-1	Noscapin	CN1CCc2cc3c(c(OC)c2C{P+}1C{P+}1c2ccc(OC)c(OC)c2C(=O)O1)OCO3	esters	no data	47.8011*	from 26.225 to 87.129	Out of domain	5.00%	0.00%	95.00%	Out of domain	60.17%	Out of Domain	 (N/A)	In domain	60.00%	0.00%	40.00%	Out of domain	In domain	Out of Domain	 
137	113806-05-6	Olopatadine	CN(C)CC/C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12	Reactive unspecified	no data	<=4435.5327*	from 3229.028 to 6092.842	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
138	34622-58-7	Orbencarb	CCN(CC)C(=O)SCc1ccccc1Cl	Reactive unspecified	no data	<=3.2381	from  2.624 to  3.996	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	36.36%	0.00%	63.64%	Out of domain	In domain	Out of Domain	 
139	196618-13-0	Oseltamivir	CCC(CC)OC{P+}1C=C(C(=O)OCC)CC{P+}(N)C{P-}1NC(C)=O	esters	no data	200.472	from 94.521 to 425.188	Out of domain	13.64%	0.00%	86.36%	Out of domain	Out of domain	Out of Domain	 (N/A)	In domain	68.18%	0.00%	31.82%	Out of domain	In domain	Out of Domain	 
140	187227-45-8	Oseltamivir-carboxylat	CCC(CC)OC{P+}1C=C(C(O)=O)CC{P+}(N)C{P-}1NC(C)=O	Reactive unspecified	no data	<=3579.3315	from 2536.746 to 5050.414	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	95.00%	0.00%	5.00%	Out of domain	In domain	Out of Domain	 
141	66-79-5	Oxacillin	CC1=C(C(=O)NC{P-}2C{P+}3N(C{P-}(C(O)=O)C(C)(C)S3)C2=O)C(c2ccccc2)=NO1	Reactive unspecified	no data	<=53.9101	from 43.871 to 66.246	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	26.09%	0.00%	73.91%	Out of domain	In domain	Out of Domain	 
142	6452-71-7	Oxprenolol	CC(C)NCC(O)COc1ccccc1OCC=C	Reactive unspecified	no data	<=190.3275	from 158.608 to 228.391	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
143	5633-20-5	Oxybutynin	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1	Reactive unspecified	no data	<=4.7187	from  3.859 to  5.770	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Alkyne suspected BOD inhibition effect	In domain	76.19%	0.00%	23.81%	Out of domain	In domain	Out of Domain	 
144	66246-88-6	Penconazol	CCCC(CN1C=NC=N1)c1ccc(Cl)cc1Cl	Reactive unspecified	no data	<=0.8043	from  0.619 to  1.045	N/A	N/A	N/A	N/A	N/A	N/A	N/A	" Aryl halide suspected BOD inhibition effect;Unsaturated heterocyclic suspected BOD inhibition effect"	In domain	46.15%	0.00%	53.85%	Out of domain	In domain	Out of Domain	 
145	82834-16-0	Perindopril	CCCC{P-}(C(=O)OCC)NC{P-}(C)C(=O)N1C{P-}2CCCCC{P-}2CC{P-}1C(O)=O	Reactive unspecified	no data	<=75.7757	from 65.981 to 87.025	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	80.77%	0.00%	19.23%	Out of domain	In domain	Out of Domain	 
146	106700-29-2	Pethoxamid	CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1	Reactive unspecified	no data	<=10.7220	from  8.988 to 12.790	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
147	119515-38-7	Picaridin (Icaridin)	CCC(C)OC(=O)N1CCCCC1CCO	Reactive unspecified	no data	<=65.1650	from 56.839 to 74.710	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
148	111025-46-8	Pioglitazone	CCc1ccc(CCOc2ccc(CC3C(=O)NC(=O)S3)cc2)nc1	Reactive unspecified	no data	<=3.6363	from  2.908 to  4.547	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Pyridine suspected BOD inhibition effect	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
149	81093-37-0	Pravastatin	CCC{P+}(C)C(=O)OC{P-}1CC{P+}(O)C=C2C=CC{P+}(C)C{P+}(CCC{P-}(O)CC{P-}(O)CC(O)=O)C{P-}12	Reactive unspecified	no data	<=27.8966	from 23.717 to 32.813	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Alkane, branched tertiary carbon suspected BOD inhibition effect	In domain	73.33%	0.00%	26.67%	Out of domain	In domain	Out of Domain	 
150	55268-74-1	Praziquantel	O=C1CN(C(=O)C2CCCCC2)CC2c3ccccc3CCN12	basesurface narcotics	no data	71.3562	from 60.514 to 84.141	In domain	50.00%	0.00%	50.00%	Out of domain	78.20%	Out of Domain	 Saturated heterocyclic suspected BOD  inhibition effect	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
