CAS Number	Chemical name(s)	SMILES	Primary Half Life by Kn (days)	Ultimate Half Life Predicted se	Molecular Weight [Da]	Mean Melting Point  [C]	Vapor Pressure (Antoine method) [Pa]	Water Solubility [mol/m3] 	Ka Half-Life (pH 7) [hours] 	Kb half-life (pH 7) [hours]	log Kow 	Boiling Point degC	Tb [C]	Tm [C] ChemProp Fragment model	Tm [C] ChemProp Read-across model	Vp 25 [Pa]	log Sw [mol/L] ChemProp	log Sw [mol/L] ACD 	pKa1	pKa2	pKb1	pKb2	HL hyd acid pH 7 [h]	HL hyd base pH 7 [h]	HL hyd neutral [h]	HL hyd total pH 7 [h]	HL sed [h]	HL soil [h]	HL water [h]	log Kow ChemProp Consensus model (fragments)	log Kow ChemProp Read-across	log Kow ACD Fragments	log Kow ACD Similarity based	log Kow ACD Consensus	log Kaw ChemProp	log Koa ChemProp	Dhaw [kJ/mole] 	Water Solubility [mol/L] EPI-Suite	Water Solubility [mol/L] ChemProp	Water Solubility [mol/L] ACD/Percepta	Water Solubility [mg/L] EPI-Suite	Water Solubility [mg/L] ChemProp	Water Solubility [mg/L] ACD/Percepta
60-00-4	edetic acid	OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O	3650	5m 6d	292.23	349.84	6.87E-13	780.89			-3.86	557.81	448	319		6.51E-09	-3.0681	-0.27	1.78	3.3	2.76	7.96					1700	550	170	-2.3518		-0.43	-1.54	-0.92	-6.6075	10.057	203.92	1.64028777	0.001797194	1.129119007	228000	249.81	156947.542
60142-96-3	Gabapentin	NCC1(CC(O)=O)CCCCC1	3650	8m 13d	171	251	2.31E-09	26.2			-1.37		295	68	149	0.081256	-1.9316	-0.54	3.8		3.28						550	170	170	-0.035437	-1.1	1.19	1.03	1.1	-9.6286	10.231	87.947	0.032302158	0.014422302	0.355296083	4490	2004.7	49386.1555
604-75-1	Oxazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=N1	3650	1y 0m 7d	287	262	4.89E-12	0.625			2.32		477	178	205	1.33E-08	-3.5137	-3.58	11.49	15.07	12.15						17000	5500	5500	2.6023	2.24	2.31	2.01	2.06	-16.188	14.957	134.49	0.00128777	0.000632058	0.000542554	179	87.856	75.4150439
60-80-0	phenazone	CC1=CC(=O)N(c2ccccc2)N1C	3650	5y 4m 10d	188	155	0.0245	126			0.59		244	97	68	1.0049	0.35189	-0.39			12.2						1700	170	170	2.1248	0.23	0.27	0.88	0.72	-7.5994	9.1213	79.925	0.171223022	3.043165468	0.551663235	23800	423000	76681.1897
63-05-8	androst-4-ene-3,17-dione	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O	3650	1m 14d	286.39	278.17	6.79E-05	0.23035			2.76	386.41	367	134	158	0.00049328	-4.1183	-3.97									5500	1700	550	3.2087	2.75	2.9	2.91	2.9	-14.403	14.957	91.01	0.00047482	0.000156921	0.000220795	66	21.812	30.6904559
63-25-2	Carbaryl	CNC(=O)Oc1cccc2ccccc12	1.42402	6m 27d	201	98	0.00488	2.07		150240	2.35		323	117	145	0.013866	-3.3513	-3.24	12.2				1.60E+10	1010.5	2160.4	688.46	5500	1700	170	2.384	2.46	2.4	2.45	2.44	-6.6209	9.1424	69.262	0.002992806	0.000644712	0.000833063	416	89.615	115.795779
637-92-3	2-ethoxy-2-methylpropane	CCOC(C)(C)C	3650	6y 7m 18d	102.17	-91.13	17332	25.839			1.92	72.53	70	-86	-94	19174	-1.2624	-1.35									1700	550	550	1.8332		1.68	1.8	1.76	-10.877	8.3896	52.626	0.018992806	0.040177698	0.032836064	2640	5584.7	4564.21294
65277-42-1	Ketokonazol	CC(=O)N1CCN(c2ccc(OCC{P-}3COC{P+}(CN4C=CN=C4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	3650	11m 12d	531	314	8.96E-18	0.000163			4.45		534	208	146	3.17E-11	-6.3042	-4.38			7.6	9.85					5500	1700	550	3.7838	3.72	3.55	3.63	3.61	-18.329	22.843	181.94	6.23022E-07	1.89755E-06	0.000159382	0.0866	0.26376	22.1541065
657-24-9	Metformin	CN(C)C(=N)NC(N)=N	7.64068	2m 2d	129	106	0.00968	7.74E+03			-2.64		190	168		2.41	-1.39	-2.9	11.9	2.98	1.75	10.89					1700	550	55	0.38		-2.31	-0.36	-1.37	-13.27	7.90	137.01	7.194244604	0.314366906	0.002128859	1000000	43697	295.911375
66108-95-0	iohexol	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	3650	2m 13d	821	350	1.65E-64	0.13			-2.81		684	283	174	8.88E-19	-6.1077	-3.39	11.81	12.62							1700	550	550	-0.44975	-3.05	-4.16	-3.03	-3.17	-24.5	28.824	384.54	0.000769784	4.60957E-06	0.002406562	107	0.64073	334.512168
67129-08-2	Metazachlor	Cc1cccc(C)c1N(CN1C=CC=N1)C(=O)CCl	3650	4m 6d	278	220	0.000026	0.902			2.38		384	178	85	2.37E-05	-3.5033	-2.85			13.6						5500	1700	550	2.6665	2.13	2.11	2.33	2.28	-6.6362	9.2682	117.31	0.001798561	0.000627151	0.002822636	250	87.174	392.346428
67-43-6	N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid)	OC(=O)CN(CCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)CC(O)=O	3650	3m 0d	393.33	349.84	3.97E-21	1127			-4.91	686.34	507	365		1.28E-11	-5.2991	0.23	1.48	2.2	2.76	3.47					1700	550	170	-3.0252		0.05	-1.9	-0.5	-4.1167	2.9027	267.08	3.18705036	1.42137E-05	4.805785187	443000	1.9757	668004.141
67-66-3	chloroform	ClC(Cl)Cl	3650	9m 1d	119.38	-97.37	25598	17.558		2.99E+07	1.52	91.18	79	-66	-64	12972	-1.2559	-1.58									17000	5500	1700	1.8449	1.97	1.76	2	1.95	-3.1721	2.5385	25.366	0.015107914	0.047641727	0.022590028	2100	6622.2	3140.01393
69-72-7	salicylic acid	Oc1ccccc1C(O)=O	3650	5.04 days	138	127	0.00329	27.6			2.24		290	163	192	0.0053674	-1.4364	-1.72	3	13.3							550	170	55	1.2734	1.78	2.06	2.47	2.37	-6.1426	7.9243	71.311	0.027410072	0.036382014	0.018933974	3810	5057.1	2631.82234
70-55-3	toluene-4-sulphonamide	Cc1ccc(S(N)(=O)=O)cc1	3650	6m 6d	171	117	0.00937	70.7			0.92		337	105	147	0.003261	-1.9427	-1.72	10.1								5500	1700	550	0.85835	0.83667	0.79	0.94	0.91	-5.0196	6.2636	76.728	0.08705036	0.014055396	0.023471438	12100	1953.7	3262.52984
723-46-6	Sulfametoxazol	CC1=CC(NS(=O)(=O)c2ccc(N)cc2)=NO1	3650	2m 1d	253	239	0.00000279	15.6			0.48		466	203	167	9.79E-09	-2.3061	-2.68	5.68		12.2						1700	170	170	1.1675	0.89	0.89	0.58	0.65	-10.307	10.214	130.58	0.028345324	0.009005036	0.003807028	3940	1251.7	529.176924
7287-19-6	Prometryn	CC(C)Nc1nc(NC(C)C)nc(SC)n1	3650	more than 10 years	241	197	0.0012	0.11			3.73		368	105	119	0.00037874	-4.0104	-3.54			9.9	15.46					5500	1700	1700	2.8978	3.51	3.44	3.38	3.4	-6.8255	10.077	147.92	0.000191367	0.000169532	0.000500805	26.6	23.565	69.6118684
73334-07-3	Jopromid	CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NCC(O)CO)c1I	3650	1m 18d	791	350	9.44E-52	0.03			-2.49		592	267		1.54E-14	-6.5087	-3.2	10.61	12.49							1700	550	550	0.27569	-2.05	-2.95	-1.98	-2.12	-21.212	26.738	332.47	0.000171223	1.76403E-06	0.003591055	23.8	0.2452	499.156665
738-70-5	Trimetoprim	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	3650	1m 28d	290	249	7.07E-08	8.04			0.73		439	182	199	5.56E-08	-2.5878	-2.56			6.96						1700	550	170	1.1843	1.2	0.79	1.22	1.12	-14.637	13.13	139.14	0.01676259	0.00539554	0.005752771	2330	749.98	799.635219
75847-73-3	Enalapril	CCOC(=O)C{P+}(CCc1ccccc1)NC{P-}(C)C(=O)N1CCCC{P-}1C(O)=O	17.32868	22.67 days	376	277	3.35E-13	0.485		1.10E+06	2.45		436		139		-4.63	-2.19	5.55		8.57	17.01					1700	550	170	1.67	0.16	2.43	1.68	2.00	-16.37	16.46	152.79	0.001316547	5.70014E-05	0.196197063	183	7.9232	27271.3917
76-03-9	trichloroacetic acid	OC(=O)C(Cl)(Cl)Cl	1.20412	4m 17d	163.38	91.92	31.064	73.385			1.44	203.15	208	45	58	21.451	-0.014166	0.51	0.09								5500	1700	550	1.4103	1.33	1.67	1.45	1.52	-3.5023	7.5555	70.679	0.086330935	1.136690647	3.803738676	12000	158000	528719.676
77-93-0	triethyl citrate	CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC	28.48449	10.79 days	276.27	12.07	0.020665	102.22		142701.6	0.33	324.77	317	59		0.0030169	-1.8625	-0.87	11.57					2.37E+12	1.36E+05	1.36E+05	550	170	55	0.6103		1.49	0.91	1.09	0.1921	3.3905	98.725	0.202877698	0.027251079	0.268133061	28200	3787.9	37270.4955
78-51-3	tris(2-butoxyethyl) phosphate	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	1021.68384	8m 24d	398	107	0.0000171	0.00493		837600	3		381	63	-70	0.00040428	-5.2122	-2.63									1700	550	170	3.6385	3.75	4.3	3.12	3.46	-8.0392	12.729		1.41007E-05	1.75863E-05	0.006720347	1.96	2.4445	934.128298
78649-41-9	Jomeprol	CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	3650	2m 13d	777	350	3.35E-55	0.163			-1.35		657	275	185	1.14E-17	-5.9944	-3.49	11.8	12.58							1700	550	170	-0.2069	-2.79	-3.08	-2.55	-2.61	-23.409	28.378	333.24	0.000906475	5.66237E-06	0.001809052	126	0.78707	251.458159
791-28-6	triphenylphosphine oxide	O=P(c1ccccc1)(c1ccccc1)c1ccccc1	3650	3y 5m 19d	278.27	75	7.24E-06	0.22554			2.87	405.1	-273		157		-4.8175	-4.73									55000	17000	1700	3.6844	2.83	2.87	4.11	3.67	-10.925	10.73		0.000451799	3.04453E-05	3.72806E-05	62.8	4.2319	5.18200229
80-05-7	4,4'-isopropylidenediphenol	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	3650	2m 2d	228	181	0.0000101	0.757			3.64		363	160	153	9.81E-06	-2.7929	-3.24	9.7	10.47							5500	1700	170	3.6976	3.32	3.43	3.73	3.63	-10.266	13.066	92.579	0.001244604	0.002646115	0.000945088	173	367.81	131.367183
80-09-1	4,4'-sulphonyldiphenol	Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1	3650	2y 11m 12d	250.26	349.84	6.11E-09	14.057			1.65	422.52	428	190	241	1.86E-08	-2.1028	-2.32	8.23	7.64							1700	550	170	1.9401	0.93	1.83	1.8	1.81	-6.0375	9.266	104.53	0.025323741	0.014209353	0.008617752	3520	1975.1	1197.86753
81-07-2	1,2-benzisothiazol-3(2H)-one 1,1-dioxide	O=C1c2ccccc2S(=O)(=O)N1	3650	11m 7d	183	230	0.00000357	4.31			0.45		392	152	189	6.99E-05	-2.1659	-1.29	1.7		14.4						550	170	170	0.63708	0.91	0.91	0.61	0.7	-8.1687	7.3523	80.327	0.005676259	0.008994964	0.067590703	789	1250.3	9395.10769
81103-11-9	Klaritromycin	CCC{P+}1C{P-}(C)(O)C{P+}(O)C{P-}(C)C(=O)C{P+}(C)CC{P-}(C)(OC)C{P+}(OC{P-}2C{P+}(O)C{P-}(N(C)C)CC{P-}(C)O2)C(C)C{P+}(OC{P-}2CC{P-}(C)(OC)C{P-}(O)C{P+}(C)O2)C{P-}(C)C(=O)O1	3650	1m 4d	748	350	1.52E-43	0.000457			3.18		639	782	150		-5.9898	-3.29	12.7	13.26	5.45						1700	170	170	2.7501	3.16	3.16	3.11	3.12	-30.668	30.331	362.97	2.46043E-06	5.50885E-06	0.002759748	0.342	0.76573	383.604929
81-25-4	cholic acid	CC{P+}(CCC(O)=O)C{P-}1CCC{P-}2C{P+}3C{P+}(O)CC{P+}4CC{P+}(O)CCC{P-}4(C)C{P-}3CC{P+}(O)C{P+}12C	3650	25.67 days	409	277	5.35E-16	0.31			3.52		465	226	198		-3.573	-3.5	4.89	15.48							1700	550	170	3.1198	2.41	2.61	1.8	2.11	-18.442	21.611	196.38	0.000913669	0.000785755	0.000929528	127	109.22	129.204341
83881-51-0	Cetirizin	OC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	3650	4m 7d	389	288	1.57E-12	0.00277			-0.61		456	185	113	6.90E-08	-3.2276	-2.31	2.97		6.67	7.33					1700	1700	550	3.2367	1.7	2.17	2.67	2.52	-15.125	17.563	161.02	7.76978E-06	0.001656691	0.013703236	1.08	230.28	1904.74983
84057-84-1	Lamotrigin	Nc1c(-c2cccc(Cl)c2Cl)nnc(N)n1	3650	more than 10 years	256	249	8.67E-08	0.545			0.99		406	184		8.89E-07	-2.7647	-4.07									5500	1700	170	1.9863		-0.19	2.33	1.68	-10.116	11.329	133.95	0.001007194	0.003167266	0.000156818	140	440.25	21.7976452
846-49-1	Lorazepam	OC1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N1	3650	11m 18d	321	267	1.63E-12	0.261			2.41		487	185	167	4.91E-09	-4.3431	-4.13	11.31	14.96							55000	17000	17000	3.2798	2.39	2.47	2.5	2.49	-16.385	15.68	135.08	0.000603597	0.000104871	0.000171285	83.9	14.577	23.808661
886-50-0	Terbutryn	CCNc1nc(NC(C)(C)C)nc(SC)n1	3650	more than 10 years	241	214	0.00148	0.07			3.77		369	113	104	0.00029952	-4.1875	-3.68			9.9	4.1	4.72E+06			4.72E+06	5500	1700	1700	2.8676	3.65	3.44	3.32	3.35	-6.8255	10.077	147.92	0.000121583	0.000112755	0.000362801	16.9	15.673	50.4293407
90357-06-5	Bikalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	3650	1y 6m 28d	430	283	2.19E-16	0.0273			2.3		496	188		1.91E-09	-4.8747	-4.65	11	13.41							5500	1700	170	2.6611		4.94	1.6	2.53	-16.623	17.552	150.43	8.48921E-05	4.13137E-05	6.93166E-05	11.8	5.7426	9.63500804
90-43-7	biphenyl-2-ol	Oc1ccccc1-c1ccccc1	3650	14.02 days	170	94	0.0803	3.15			3.28		305	109	101	0.0068501	-2.8287	-3.32	10.02								5500	5500	550	3.16	3.1733	2.94	3.12	3.08	-5.9254	8.9747	58.408	0.003856115	0.001816547	0.000586098	536	252.5	81.467628
91-20-3	naphthalene	c1cccc2ccccc12	3650	1y 10m 28d	128.16	-11.58	6.2128	1.1087			3.17	231.64	245	52	80	4.7645	-3.1495	-3.63									5500	1700	170	2.9478	3.265	3.45	3.34	3.37	-5.8722	9.5766	40.7	0.001021583	0.000653496	0.000216158	142	90.836	30.0459807
93-65-2	Mecoprop	CC(C(O)=O)Oc1ccc(Cl)cc1C	3650	5y 10m 27d	215	128	0.0481	0.786			2.94		311	66	95	0.041096	-2.6427	-2.43	3.05								1700	170	170	2.6593	3.13	2.83	3.01	2.97	-8.0483	9.6882	79.255	0.001215827	0.003515755	0.005737413	169	488.69	797.500369
94-13-3	propyl 4-hydroxybenzoate	CCCOC(=O)c1ccc(O)cc1	3650	12.14 days	180	81.3	0.0352	2.94		376800	2.98		284	81	97	0.052291	-2.5795	-2.51	8.5					2.44E+05		2.44E+05	550	170	55	2.1641	3.42	2.93	2.85	2.87	-6.8237	8.9572	63.5	0.003805755	0.003413813	0.004006268	529	474.52	556.871237
94-74-6	MCPA	Cc1cc(Cl)ccc1OCC(O)=O	3650	3m 30d	201	128	0.0515	0.902			2.52		309	106	120	0.018383	-2.38	-2.36	3.05								1700	170	170	2.2916	2.75	2.49	2.57	2.55	-8.1815	9.4739	70.698	0.001302158	0.006016259	0.006300274	181	836.26	875.738063
94-75-7	2,4-D	OC(=O)COc1ccc(Cl)cc1Cl	3650	3m 15d	221	140	0.00221	1.52			2.62		317	114	151	0.0093251	-2.6497	-2.64	2.97								1700	550	170	2.5085	2.82	2.58	2.91	2.84	-7.5891	9.4736	68.42	0.002417266	0.003562806	0.003642974	336	495.23	506.373386
95-14-7	benzotriazole	c1cccc2c1NN=N2	3650	3y 10m 10d	119.12	161.1	0.0015332	50.008			1.17	297.25	198		100		-1.1893	-1.44	8.38		12.83						1700	550	170	1.3092	1.44	1.34	1.61	1.54	-7.8425	12.907	93.077	0.042877698	0.055422302	0.031117618	5960	7703.7	4325.34887
95-16-9	benzothiazole	c1cccc2c1N=CS2	3650	4y 7m 3d	135.18	106.36	10.439	12.457			2.17	248.94	217	-16	2	35.704	-2.08	-1.99			13.15						1700	550	170	2.2152	2.01	2.01	2.13	2.09	-20.657	15.718	48.683	0.012086331	0.008090647	0.009952445	1680	1124.6	1383.3898
